8 56
Reference:  This is a combination of two references taken from the SwRI Web site:
            106.0 - 136.0 nm, Tanaka et al., J. Chem. Phys., 21, 1651, 1953
            136.5 - 200.0 nm, Ackerman, Mesospheric models and related experiments,
                              149-159, D. Reidel Press, 1971.

O3 + hv -> Products

Wavelength (nm)    Cross section
 106.00    8.56E-18
 107.00    8.18E-18
 108.00    1.00E-17
 109.00    9.67E-18
 110.00    8.93E-18
 111.00    9.67E-18
 112.00    1.38E-17
 113.00    1.26E-17
 114.00    7.07E-18
 115.00    7.07E-18
 116.00    5.58E-18
 117.00    8.00E-18
 118.00    7.63E-18
 119.00    9.30E-18
 120.00    1.49E-17
 121.00    2.12E-17
 122.00    2.27E-17
 123.00    2.05E-17
 124.00    1.12E-17
 125.00    8.18E-18
 126.00    6.70E-18
 127.00    5.58E-18
 128.00    6.32E-18
 129.00    7.25E-18
 130.00    9.30E-18
 131.00    1.56E-17
 132.00    1.53E-17
 133.00    1.53E-17
 134.00    1.75E-17
 135.00    1.71E-17
 136.00    1.49E-17
 136.50    1.35E-17
 137.45    1.05E-17
 138.40    7.97E-18
 139.85    7.17E-18
 141.80    6.28E-18
 143.85    5.66E-18
 145.95    5.23E-18
 148.10    4.47E-18
 150.35    3.69E-18
 152.65    2.93E-18
 155.00    2.19E-18
 157.45    1.63E-18
 160.00    1.20E-18
 162.60    9.77E-19
 165.30    8.66E-19
 168.10    8.14E-19
 170.95    8.17E-19
 173.15    8.57E-19
 174.65    8.40E-19
 175.00    8.20E-19
 180.00    7.70E-19
 185.00    6.80E-19
 190.00    5.20E-19
 195.00    4.00E-19
 200.00    3.10E-19
