# Absorption corss-section for CH3O2NO2 from Atkinson et al.
# J. Phys. Chem. Ref. Data, Vol. 21, No 6, 1992
# first  column : wavelength (nm)
# second column : absorption
#
200  500.00
205  360.00
210  240.00
215  150.00
220  105.00
225   80.00
230   68.00
235   60.00
240   53.00
245   46.00
250   39.00
255   32.00
260   26.00
265   20.00
270   16.00
275   13.00
280   10.50
285    6.20
290    3.90
295    2.40
300    1.40
305    0.85
310    0.53
315    0.39
320    0.24
325    0.15
