variant,update,weighted_correction_norm,accepted_step
undamped,0,998331.1931073659,1.0
undamped,1,498332.3090273708,1.0
undamped,2,496669.0706274728,1.0
undamped,3,493355.8639200443,1.0
undamped,4,486781.9367907325,1.0
undamped,5,473839.55135921977,1.0
undamped,6,448744.8870529592,1.0
undamped,7,401515.78256191156,1.0
undamped,8,317889.73157642735,1.0
undamped,9,189912.46827702073,1.0
undamped,10,58288.822016125945,nan
damped,0,998331.1931073659,0.001953125
damped,1,996381.327495828,1.0
damped,2,16416.772104815664,1.0
damped,3,319.15904143471823,1.0
damped,4,0.11682196039166896,1.0
damped,5,1.5647327411171027e-08,nan
