variant,start,temperature,initial_aq,initial_xm,status,constraint_init_iterations,forcing_calls,jacobian_updates,decompositions,solves,median_us
undamped,warm,2.86000000000000000e+02,1.00000000000000000e+00,9.00000000000000000e+02,Converged,4,4,4,4,4,1.12500000000000000e+00
undamped,consistent,2.86000000000000000e+02,7.15275075887103681e+05,8.45739366404983912e+02,Converged,1,1,0,0,0,2.07999999999999990e-01
damped,warm,2.86000000000000000e+02,1.00000000000000000e+00,9.00000000000000000e+02,Converged,4,7,4,4,7,1.66700000000000004e+00
damped,consistent,2.86000000000000000e+02,7.15275075887103681e+05,8.45739366404983912e+02,Converged,1,1,0,0,0,2.07999999999999990e-01
