variant,temperature,initial_xm,status,final_aq,final_xm,constraint_init_iterations,solves
main,2.83000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,5.47405889138363302e+05,7.39868832388852297e+02,10,10
main,2.83000000000000000e+02,1.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868832387446446e+02,9,8
main,2.83000000000000000e+02,3.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868832387446446e+02,7,6
main,2.83000000000000000e+02,6.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868832387446446e+02,6,5
main,2.83000000000000000e+02,8.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868832387446446e+02,5,4
main,2.83000000000000000e+02,9.00000000000000000e+02,Converged,5.47405889138363302e+05,7.39868832387446446e+02,5,4
main,2.83000000000000000e+02,1.20000000000000000e+03,Converged,5.47405889138363302e+05,7.39868832387446446e+02,6,5
main,2.83000000000000000e+02,2.00000000000000000e+03,Converged,5.47405889138363302e+05,7.39868832387446446e+02,7,6
main,2.84000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,5.98829737292087288e+05,8.91938077226967948e+02,10,10
main,2.84000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,5.98829737292087288e+05,7.73840899216214893e+02,10,10
main,2.84000000000000000e+02,1.00000000000000000e+02,Constraint Initialization Failed,5.98829737292087288e+05,7.73840899211257351e+02,10,10
main,2.84000000000000000e+02,3.00000000000000000e+02,Constraint Initialization Failed,5.98829737292087288e+05,7.73840899211257351e+02,10,10
main,2.84000000000000000e+02,6.00000000000000000e+02,Constraint Initialization Failed,5.98829737292087288e+05,7.73840899211257238e+02,10,10
main,2.84000000000000000e+02,8.00000000000000000e+02,Constraint Initialization Failed,5.98829737292087288e+05,7.73840899211257351e+02,10,10
main,2.84000000000000000e+02,9.00000000000000000e+02,Constraint Initialization Failed,5.98829737292087288e+05,7.73840899211257238e+02,10,10
main,2.84000000000000000e+02,1.20000000000000000e+03,Constraint Initialization Failed,5.98829737292087288e+05,7.73840899211257351e+02,10,10
main,2.84000000000000000e+02,2.00000000000000000e+03,Constraint Initialization Failed,5.98829737292087288e+05,7.73840899211257351e+02,10,10
main,2.85000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,6.54671765158005059e+05,9.49007042166304018e+02,10,10
main,2.85000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,6.54671765158005059e+05,8.09117893254502519e+02,10,10
main,2.85000000000000000e+02,1.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117893238065221e+02,10,9
main,2.85000000000000000e+02,3.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117893238065221e+02,8,7
main,2.85000000000000000e+02,6.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117893238065221e+02,6,5
main,2.85000000000000000e+02,8.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117893238065221e+02,4,3
main,2.85000000000000000e+02,9.00000000000000000e+02,Converged,6.54671765158005059e+05,8.09117893238065221e+02,5,4
main,2.85000000000000000e+02,1.20000000000000000e+03,Converged,6.54671765158005059e+05,8.09117893238065221e+02,6,5
main,2.85000000000000000e+02,2.00000000000000000e+03,Converged,6.54671765158005059e+05,8.09117893238065221e+02,7,6
main,2.86000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,7.15275075887103681e+05,1.01054760062490072e+03,10,10
main,2.86000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,7.15275075887103681e+05,8.45739366456402422e+02,10,10
main,2.86000000000000000e+02,1.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366404983912e+02,9,8
main,2.86000000000000000e+02,3.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366404983912e+02,7,6
main,2.86000000000000000e+02,6.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366404983912e+02,6,5
main,2.86000000000000000e+02,8.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366404983912e+02,5,4
main,2.86000000000000000e+02,9.00000000000000000e+02,Converged,7.15275075887103681e+05,8.45739366404983912e+02,5,4
main,2.86000000000000000e+02,1.20000000000000000e+03,Converged,7.15275075887103681e+05,8.45739366404983912e+02,6,5
main,2.86000000000000000e+02,2.00000000000000000e+03,Converged,7.15275075887103681e+05,8.45739366404983912e+02,7,6
main,2.87000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,7.81006471680847812e+05,1.07692788009526430e+03,10,10
main,2.87000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,7.81006471680847812e+05,8.83745705477510910e+02,10,10
main,2.87000000000000000e+02,1.00000000000000000e+02,Constraint Initialization Failed,7.81006471680847812e+05,8.83745705325263657e+02,10,10
main,2.87000000000000000e+02,3.00000000000000000e+02,Constraint Initialization Failed,7.81006471680847812e+05,8.83745705325263771e+02,10,10
main,2.87000000000000000e+02,6.00000000000000000e+02,Constraint Initialization Failed,7.81006471680847812e+05,8.83745705325263771e+02,10,10
main,2.87000000000000000e+02,8.00000000000000000e+02,Constraint Initialization Failed,7.81006471680847812e+05,8.83745705325263657e+02,10,10
main,2.87000000000000000e+02,9.00000000000000000e+02,Constraint Initialization Failed,7.81006471680847812e+05,8.83745705325263657e+02,10,10
main,2.87000000000000000e+02,1.20000000000000000e+03,Constraint Initialization Failed,7.81006471680847812e+05,8.83745705325263771e+02,10,10
main,2.87000000000000000e+02,2.00000000000000000e+03,Constraint Initialization Failed,7.81006471680847812e+05,8.83745705325263657e+02,10,10
main,2.88000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,8.52257876262356527e+05,1.14854047949659025e+03,10,10
main,2.88000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,8.52257876262356527e+05,9.23178139392720368e+02,10,10
main,2.88000000000000000e+02,1.00000000000000000e+02,Converged,8.52257876262356527e+05,9.23178138964716027e+02,9,8
main,2.88000000000000000e+02,3.00000000000000000e+02,Converged,8.52257876262356527e+05,9.23178138964716027e+02,7,6
main,2.88000000000000000e+02,6.00000000000000000e+02,Converged,8.52257876262356527e+05,9.23178138964716027e+02,6,5
main,2.88000000000000000e+02,8.00000000000000000e+02,Converged,8.52257876262356527e+05,9.23178138964716027e+02,5,4
main,2.88000000000000000e+02,9.00000000000000000e+02,Converged,8.52257876262356527e+05,9.23178138964716027e+02,5,4
main,2.88000000000000000e+02,1.20000000000000000e+03,Converged,8.52257876262356527e+05,9.23178138964716027e+02,6,5
main,2.88000000000000000e+02,2.00000000000000000e+03,Converged,8.52257876262356527e+05,9.23178138964716027e+02,7,6
main,2.89000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,9.29447828839442111e+05,1.22580382620106502e+03,10,10
main,2.89000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,9.29447828839442111e+05,9.64078747327456085e+02,10,10
main,2.89000000000000000e+02,1.00000000000000000e+02,Converged,9.29447828839442111e+05,9.64078746181784709e+02,9,8
main,2.89000000000000000e+02,3.00000000000000000e+02,Converged,9.29447828839442111e+05,9.64078746181784709e+02,7,6
main,2.89000000000000000e+02,6.00000000000000000e+02,Converged,9.29447828839442111e+05,9.64078746181784709e+02,6,5
main,2.89000000000000000e+02,8.00000000000000000e+02,Converged,9.29447828839442111e+05,9.64078746181784709e+02,6,5
main,2.89000000000000000e+02,9.00000000000000000e+02,Converged,9.29447828839442111e+05,9.64078746181784709e+02,5,4
main,2.89000000000000000e+02,1.20000000000000000e+03,Converged,9.29447828839442111e+05,9.64078746181784709e+02,6,5
main,2.89000000000000000e+02,2.00000000000000000e+03,Converged,9.29447828839442111e+05,9.64078746181784709e+02,7,6
main,2.90000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.01302305236810027e+06,1.30916362550922486e+03,10,10
