9 697		# first data record, number of data records 
Structure:	I2O3
Name:	
Author(Year):	Spietz et al. 2005 + Gómez martín et al 2005
Temperature:	298K
Wavelength range: Res=1.3 nm @ 546.07 nm (43.6 cm-1)
Bibliography:

278.103281	5.56123184543635E-18
278.4156	1.0070100847716E-17
278.72792	7.42631621994102E-18
279.04024	9.19857187283867E-18
279.352559	9.72521794579835E-18
279.664879	9.00002913103461E-18
279.977198	7.1955500922222E-18
280.289518	7.32938225185079E-18
280.601837	9.62953590573076E-18
280.914157	7.06540536019571E-18
281.226477	1.07072155922725E-17
281.538796	1.12167630565378E-17
281.851116	6.63239747513965E-18
282.163435	8.32146509664425E-18
282.475755	1.24631893390655E-17
282.788075	7.04122652560874E-18
283.100394	1.12244942406228E-17
283.412714	6.88755311589463E-18
283.725033	5.66266077815802E-18
284.037353	6.89030222926854E-18
284.349672	6.84323784716913E-18
284.661992	9.28255546501102E-18
284.974312	1.0231898506603E-17
285.286631	8.2325016527263E-18
285.598951	8.29428239911329E-18
285.91127	1.07878714141719E-17
286.22359	1.00641916808801E-17
286.535909	6.46575051364548E-18
286.848229	7.73541435791127E-18
287.160549	7.71021048452677E-18
287.472868	8.55487419721929E-18
287.785188	9.25718362826372E-18
288.097507	9.1325818721232E-18
288.409827	7.63119127297927E-18
288.722147	5.71774840335236E-18
289.034466	8.78475680683085E-18
289.346786	1.13917787232404E-17
289.659105	9.65440711920003E-18
289.971425	9.25561050498108E-18
290.283744	7.7421012105263E-18
290.596064	8.39570804653323E-18
290.908384	5.56098673603874E-18
291.220703	7.71044865349331E-18
291.533023	8.77127961151414E-18
291.845342	7.84480418079657E-18
292.157662	6.00548108998052E-18
292.469982	7.84139806871292E-18
292.782301	9.57007379340549E-18
293.094621	7.69820131981983E-18
293.40694	8.0416501536278E-18
293.71926	6.97740716628193E-18
294.031579	5.00858351529562E-18
294.343899	7.05652148515742E-18
294.656219	6.68870575943408E-18
294.968538	5.80527286661756E-18
295.280858	5.71335094376444E-18
295.593177	7.17458567575252E-18
295.905497	5.66636904554469E-18
296.217816	4.9876589785675E-18
296.530136	6.15523286028118E-18
296.842456	4.50356131070501E-18
297.154775	5.10880870236555E-18
297.467095	5.09379378859394E-18
297.779414	4.64918856650512E-18
298.091734	4.83873671921869E-18
298.404054	4.40673718757214E-18
298.716373	4.02385717609421E-18
299.028693	4.79016087025931E-18
299.341012	5.8455601766619E-18
299.653332	4.50301329402161E-18
299.965651	3.56061708151128E-18
300.277971	3.68567590756757E-18
300.590291	4.18409075398315E-18
300.90261	4.43150974336858E-18
301.21493	4.64666334675286E-18
301.527249	4.17326408833303E-18
301.839569	3.98264717087348E-18
302.151888	4.30377258893868E-18
302.464208	4.51733521253162E-18
302.776528	3.76403257915531E-18
303.088847	4.10949035340298E-18
303.401167	3.82150429789442E-18
303.713486	3.81833178124281E-18
304.025806	3.78250263798493E-18
304.338126	3.90902304115958E-18
304.650445	3.77273523867558E-18
304.962765	3.46977872883525E-18
305.275084	3.84872150650311E-18
305.587404	3.71849034576936E-18
305.899723	3.55185953341319E-18
306.212043	3.60836604529468E-18
306.524363	3.73719716822068E-18
306.836682	3.59846457115718E-18
307.149002	3.51937976452319E-18
307.461321	3.26459776674396E-18
307.773641	3.67128909664349E-18
308.085961	3.32246136712268E-18
308.39828	3.3797004273263E-18
308.7106	3.36323412518635E-18
309.022919	3.55792685701693E-18
309.335239	3.55897282805592E-18
309.647558	3.49057385672661E-18
309.959878	3.44229812285473E-18
310.272198	3.59048550396761E-18
310.584517	3.38182259048199E-18
310.896837	3.08022383482855E-18
311.209156	3.13637468968265E-18
311.521476	3.41285980988302E-18
311.833795	3.38744298977346E-18
312.146115	3.2083497088722E-18
312.458435	3.15469478342541E-18
312.770754	3.25146195927354E-18
313.083074	3.30636532403606E-18
313.395393	3.32205465539679E-18
313.707713	3.30868427245123E-18
314.020033	3.19447339562273E-18
314.332352	3.06451235079531E-18
314.644672	3.13943951254069E-18
314.956991	3.06214611992304E-18
315.269311	3.37159698711895E-18
315.58163	3.23487816907275E-18
315.89395	3.24993685193938E-18
316.20627	3.01898503995252E-18
316.518589	3.19583626575792E-18
316.830909	3.04820676339744E-18
317.143228	3.01324197501397E-18
317.455548	3.02708615024606E-18
317.767867	2.96907632620292E-18
318.080187	3.08689635662455E-18
318.392507	3.00677557662403E-18
318.704826	2.93821858413025E-18
319.017146	2.97978605853356E-18
