time,X,Y,Z,P,Q
0,5.025e-11,6e-07,7.236e-08,0,0
30,5.14223e-11,1.31572e-05,2.45986e-08,0.000574601,0.000376385
60,5.03053e-11,0.000273057,4.91311e-07,0.00102535,0.000752772
90,5.81888e-11,2.19831e-06,2.72745e-08,0.00116176,0.000752772
120,5.05853e-11,4.5258e-05,2.4268e-08,0.00172113,0.00112916
150,3.02298e-10,3.05614e-07,1.03895e-07,0.00174457,0.00112916
180,5.22414e-11,7.87002e-06,2.49344e-08,0.00232149,0.00150555
210,5.03399e-11,0.000167962,4.75004e-08,0.00282237,0.00188194
240,6.46641e-11,1.34791e-06,2.98612e-08,0.00290645,0.00188194
270,5.07258e-11,3.19222e-05,2.43175e-08,0.00347205,0.00225835
300,2.43524e-10,2.11225e-07,1.00522e-07,0.00348897,0.00225835
330,5.22619e-11,7.79241e-06,2.49397e-08,0.00406583,0.00263479
360,5.03412e-11,0.00016557,4.55619e-08,0.00456787,0.00301118
