time,cell,A,B,C
39,0,1,3.21263e-08,3.71319e-08
39,1,0.666667,2.34592e-08,2.56544e-08
39,2,0.333333,8.84492e-09,1.12947e-08
40,0,1,3.24134e-08,3.86207e-08
40,1,0.666667,2.36803e-08,2.66927e-08
40,2,0.333333,8.91626e-09,1.17397e-08
41,0,1,3.26876e-08,4.01223e-08
41,1,0.666667,2.38918e-08,2.77404e-08
41,2,0.333333,8.98411e-09,1.21883e-08
42,0,1,3.29494e-08,4.16364e-08
42,1,0.666667,2.40943e-08,2.87973e-08
42,2,0.333333,9.04865e-09,1.26401e-08
43,0,1,3.31994e-08,4.31622e-08
43,1,0.666667,2.4288e-08,2.98629e-08
43,2,0.333333,9.11003e-09,1.30952e-08
44,0,1,3.34382e-08,4.46993e-08
44,1,0.666667,2.44733e-08,3.09369e-08
44,2,0.333333,9.16842e-09,1.35532e-08
45,0,1,3.36661e-08,4.62472e-08
45,1,0.666667,2.46507e-08,3.20189e-08
45,2,0.333333,9.22395e-09,1.4014e-08
46,0,1,3.38838e-08,4.78054e-08
46,1,0.666667,2.48204e-08,3.31085e-08
46,2,0.333333,9.27676e-09,1.44776e-08
47,0,1,3.40917e-08,4.93733e-08
47,1,0.666667,2.49828e-08,3.42054e-08
47,2,0.333333,9.32699e-09,1.49438e-08
48,0,1,3.42902e-08,5.09507e-08
48,1,0.666667,2.51383e-08,3.53093e-08
48,2,0.333333,9.37477e-09,1.54124e-08
49,0,1,3.44798e-08,5.2537e-08
49,1,0.666667,2.5287e-08,3.64199e-08
49,2,0.333333,9.42021e-09,1.58834e-08
50,0,1,3.46608e-08,5.41318e-08
50,1,0.666667,2.54293e-08,3.75369e-08
50,2,0.333333,9.46343e-09,1.63566e-08
51,0,1,3.48337e-08,5.57348e-08
51,1,0.666667,2.55655e-08,3.866e-08
51,2,0.333333,9.50454e-09,1.68318e-08
52,0,1,3.49987e-08,5.73456e-08
52,1,0.666667,2.56958e-08,3.97891e-08
52,2,0.333333,9.54364e-09,1.73091e-08
53,0,1,3.51563e-08,5.89638e-08
53,1,0.666667,2.58205e-08,4.09237e-08
53,2,0.333333,9.58083e-09,1.77884e-08
54,0,1,3.53069e-08,6.05892e-08
54,1,0.666667,2.59398e-08,4.20637e-08
54,2,0.333333,9.6162e-09,1.82694e-08
55,0,1,3.54506e-08,6.22213e-08
55,1,0.666667,2.6054e-08,4.32088e-08
55,2,0.333333,9.64984e-09,1.87521e-08
56,0,1,3.55878e-08,6.38599e-08
56,1,0.666667,2.61632e-08,4.43589e-08
56,2,0.333333,9.68184e-09,1.92366e-08
57,0,1,3.57189e-08,6.55047e-08
57,1,0.666667,2.62678e-08,4.55137e-08
57,2,0.333333,9.71227e-09,1.97225e-08
58,0,1,3.5844e-08,6.71554e-08
58,1,0.666667,2.63678e-08,4.6673e-08
58,2,0.333333,9.74122e-09,2.021e-08
59,0,1,3.59635e-08,6.88117e-08
59,1,0.666667,2.64635e-08,4.78365e-08
59,2,0.333333,9.76875e-09,2.06988e-08
60,0,1,3.60777e-08,7.04734e-08
60,1,0.666667,2.65551e-08,4.90043e-08
60,2,0.333333,9.79493e-09,2.11891e-08
61,0,1,3.61866e-08,7.21403e-08
61,1,0.666667,2.66428e-08,5.01759e-08
61,2,0.333333,9.81984e-09,2.16806e-08
62,0,1,3.62907e-08,7.38121e-08
62,1,0.666667,2.67267e-08,5.13514e-08
62,2,0.333333,9.84353e-09,2.21733e-08
63,0,1,3.63901e-08,7.54886e-08
63,1,0.666667,2.6807e-08,5.25304e-08
63,2,0.333333,9.86606e-09,2.26671e-08
64,0,1,3.6485e-08,7.71696e-08
64,1,0.666667,2.68838e-08,5.37129e-08
64,2,0.333333,9.88749e-09,2.31621e-08
65,0,1,3.65756e-08,7.88548e-08
65,1,0.666667,2.69573e-08,5.48988e-08
65,2,0.333333,9.90787e-09,2.36581e-08
66,0,1,3.66621e-08,8.05441e-08
66,1,0.666667,2.70276e-08,5.60878e-08
66,2,0.333333,9.92725e-09,2.41551e-08
67,0,1,3.67447e-08,8.22373e-08
67,1,0.666667,2.70949e-08,5.72798e-08
67,2,0.333333,9.94569e-09,2.46531e-08
68,0,1,3.68236e-08,8.39343e-08
68,1,0.666667,2.71593e-08,5.84747e-08
68,2,0.333333,9.96323e-09,2.5152e-08
69,0,1,3.6899e-08,8.56348e-08
69,1,0.666667,2.72209e-08,5.96724e-08
69,2,0.333333,9.97991e-09,2.56517e-08
70,0,1,3.69709e-08,8.73387e-08
70,1,0.666667,2.72799e-08,6.08727e-08
70,2,0.333333,9.99577e-09,2.61522e-08
71,0,1,3.70396e-08,8.90459e-08
71,1,0.666667,2.73363e-08,6.20756e-08
71,2,0.333333,1.00109e-08,2.66535e-08
72,0,1,3.71052e-08,9.07561e-08
72,1,0.666667,2.73903e-08,6.3281e-08
72,2,0.333333,1.00252e-08,2.71556e-08
73,0,1,3.71679e-08,9.24693e-08
73,1,0.666667,2.7442e-08,6.44886e-08
73,2,0.333333,1.00389e-08,2.76583e-08
74,0,1,3.72277e-08,9.41853e-08
74,1,0.666667,2.74914e-08,6.56985e-08
74,2,0.333333,1.00518e-08,2.81617e-08
75,0,1,3.72848e-08,9.59041e-08
75,1,0.666667,2.75387e-08,6.69105e-08
75,2,0.333333,1.00642e-08,2.86658e-08
76,0,1,3.73394e-08,9.76254e-08
76,1,0.666667,2.7584e-08,6.81246e-08
76,2,0.333333,1.00759e-08,2.91705e-08
77,0,1,3.73915e-08,9.93491e-08
77,1,0.666667,2.76273e-08,6.93406e-08
77,2,0.333333,1.00871e-08,2.96757e-08
78,0,1,3.74412e-08,1.01075e-07
78,1,0.666667,2.76688e-08,7.05584e-08
78,2,0.333333,1.00977e-08,3.01815e-08
79,0,1,3.74887e-08,1.02804e-07
79,1,0.666667,2.77085e-08,7.17781e-08
79,2,0.333333,1.01078e-08,3.06878e-08
80,0,1,3.75341e-08,1.04534e-07
80,1,0.666667,2.77464e-08,7.29994e-08
80,2,0.333333,1.01174e-08,3.11945e-08
81,0,1,3.75774e-08,1.06267e-07
81,1,0.666667,2.77828e-08,7.42224e-08
81,2,0.333333,1.01266e-08,3.17018e-08
82,0,1,3.76188e-08,1.08001e-07
82,1,0.666667,2.78175e-08,7.5447e-08
82,2,0.333333,1.01353e-08,3.22095e-08
83,0,1,3.76583e-08,1.09737e-07
83,1,0.666667,2.78508e-08,7.66731e-08
83,2,0.333333,1.01435e-08,3.27176e-08
84,0,1,3.7696e-08,1.11476e-07
84,1,0.666667,2.78826e-08,7.79006e-08
84,2,0.333333,1.01514e-08,3.32262e-08
85,0,1,3.7732e-08,1.13215e-07
85,1,0.666667,2.79131e-08,7.91294e-08
85,2,0.333333,1.01589e-08,3.37351e-08
86,0,1,3.77664e-08,1.14957e-07
86,1,0.666667,2.79422e-08,8.03596e-08
86,2,0.333333,1.0166e-08,3.42444e-08
87,0,1,3.77992e-08,1.167e-07
87,1,0.666667,2.79701e-08,8.1591e-08
87,2,0.333333,1.01728e-08,3.4754e-08
88,0,1,3.78306e-08,1.18444e-07
88,1,0.666667,2.79968e-08,8.28237e-08
88,2,0.333333,1.01792e-08,3.5264e-08
89,0,1,3.78605e-08,1.2019e-07
89,1,0.666667,2.80223e-08,8.40575e-08
89,2,0.333333,1.01853e-08,3.57743e-08
90,0,1,3.78891e-08,1.21938e-07
90,1,0.666667,2.80467e-08,8.52924e-08
90,2,0.333333,1.01912e-08,3.62848e-08
91,0,1,3.79164e-08,1.23686e-07
91,1,0.666667,2.80701e-08,8.65283e-08
91,2,0.333333,1.01967e-08,3.67957e-08
92,0,1,3.79425e-08,1.25436e-07
92,1,0.666667,2.80925e-08,8.77652e-08
92,2,0.333333,1.0202e-08,3.73068e-08
93,0,1,3.79674e-08,1.27187e-07
93,1,0.666667,2.81139e-08,8.90032e-08
93,2,0.333333,1.0207e-08,3.78182e-08
94,0,1,3.79912e-08,1.28939e-07
94,1,0.666667,2.81344e-08,9.0242e-08
94,2,0.333333,1.02117e-08,3.83298e-08
95,0,1,3.80139e-08,1.30692e-07
95,1,0.666667,2.8154e-08,9.14817e-08
95,2,0.333333,1.02163e-08,3.88417e-08
96,0,1,3.80356e-08,1.32446e-07
96,1,0.666667,2.81728e-08,9.27223e-08
96,2,0.333333,1.02206e-08,3.93538e-08
97,0,1,3.80563e-08,1.34201e-07
97,1,0.666667,2.81907e-08,9.39636e-08
97,2,0.333333,1.02247e-08,3.98661e-08
98,0,1,3.8076e-08,1.35957e-07
98,1,0.666667,2.82079e-08,9.52058e-08
98,2,0.333333,1.02286e-08,4.03786e-08
99,0,1,3.80949e-08,1.37714e-07
99,1,0.666667,2.82243e-08,9.64487e-08
99,2,0.333333,1.02323e-08,4.08913e-08
100,0,1,3.8113e-08,1.39472e-07
100,1,0.666667,2.82401e-08,9.76923e-08
100,2,0.333333,1.02358e-08,4.14042e-08
101,0,1,3.81302e-08,1.41231e-07
101,1,0.666667,2.82551e-08,9.89365e-08
101,2,0.333333,1.02392e-08,4.19172e-08
102,0,1,3.81466e-08,1.4299e-07
102,1,0.666667,2.82695e-08,1.00181e-07
102,2,0.333333,1.02424e-08,4.24304e-08
103,0,1,3.81623e-08,1.4475e-07
103,1,0.666667,2.82833e-08,1.01427e-07
103,2,0.333333,1.02454e-08,4.29438e-08
104,0,1,3.81773e-08,1.46511e-07
104,1,0.666667,2.82965e-08,1.02673e-07
104,2,0.333333,1.02483e-08,4.34573e-08
105,0,1,3.81916e-08,1.48273e-07
105,1,0.666667,2.83091e-08,1.0392e-07
105,2,0.333333,1.0251e-08,4.3971e-08
106,0,1,3.82053e-08,1.50035e-07
106,1,0.666667,2.83212e-08,1.05167e-07
106,2,0.333333,1.02536e-08,4.44847e-08
107,0,1,3.82183e-08,1.51798e-07
107,1,0.666667,2.83328e-08,1.06415e-07
107,2,0.333333,1.02561e-08,4.49987e-08
108,0,1,3.82308e-08,1.53561e-07
108,1,0.666667,2.83438e-08,1.07663e-07
108,2,0.333333,1.02585e-08,4.55127e-08
109,0,1,3.82427e-08,1.55325e-07
109,1,0.666667,2.83544e-08,1.08912e-07
109,2,0.333333,1.02607e-08,4.60268e-08
110,0,1,3.82541e-08,1.5709e-07
110,1,0.666667,2.83645e-08,1.10161e-07
110,2,0.333333,1.02629e-08,4.65411e-08
111,0,1,3.82649e-08,1.58855e-07
111,1,0.666667,2.83742e-08,1.11411e-07
111,2,0.333333,1.02649e-08,4.70555e-08
112,0,1,3.82753e-08,1.6062e-07
112,1,0.666667,2.83835e-08,1.12661e-07
112,2,0.333333,1.02668e-08,4.75699e-08
113,0,1,3.82852e-08,1.62386e-07
113,1,0.666667,2.83924e-08,1.13911e-07
113,2,0.333333,1.02687e-08,4.80845e-08
114,0,1,3.82946e-08,1.64152e-07
114,1,0.666667,2.84008e-08,1.15162e-07
114,2,0.333333,1.02704e-08,4.85992e-08
115,0,1,3.83037e-08,1.65919e-07
115,1,0.666667,2.8409e-08,1.16413e-07
115,2,0.333333,1.02721e-08,4.91139e-08
116,0,1,3.83123e-08,1.67687e-07
116,1,0.666667,2.84167e-08,1.17665e-07
116,2,0.333333,1.02737e-08,4.96287e-08
117,0,1,3.83205e-08,1.69454e-07
117,1,0.666667,2.84242e-08,1.18917e-07
117,2,0.333333,1.02752e-08,5.01436e-08
118,0,1,3.83284e-08,1.71222e-07
118,1,0.666667,2.84313e-08,1.20169e-07
118,2,0.333333,1.02766e-08,5.06586e-08
119,0,1,3.83359e-08,1.7299e-07
119,1,0.666667,2.84381e-08,1.21421e-07
119,2,0.333333,1.0278e-08,5.11736e-08
120,0,1,3.8343e-08,1.74759e-07
120,1,0.666667,2.84446e-08,1.22674e-07
120,2,0.333333,1.02793e-08,5.16887e-08
121,0,1,3.83499e-08,1.76528e-07
121,1,0.666667,2.84509e-08,1.23927e-07
121,2,0.333333,1.02805e-08,5.22039e-08
122,0,1,3.83564e-08,1.78298e-07
122,1,0.666667,2.84568e-08,1.25181e-07
122,2,0.333333,1.02817e-08,5.27191e-08
123,0,1,3.83627e-08,1.80067e-07
123,1,0.666667,2.84625e-08,1.26434e-07
123,2,0.333333,1.02828e-08,5.32344e-08
124,0,1,3.83686e-08,1.81837e-07
124,1,0.666667,2.8468e-08,1.27688e-07
124,2,0.333333,1.02838e-08,5.37497e-08
125,0,1,3.83743e-08,1.83607e-07
125,1,0.666667,2.84732e-08,1.28942e-07
125,2,0.333333,1.02848e-08,5.42651e-08
126,0,1,3.83797e-08,1.85378e-07
126,1,0.666667,2.84782e-08,1.30197e-07
126,2,0.333333,1.02858e-08,5.47806e-08
127,0,1,3.83849e-08,1.87148e-07
127,1,0.666667,2.8483e-08,1.31451e-07
127,2,0.333333,1.02867e-08,5.52961e-08
128,0,1,3.83899e-08,1.88919e-07
128,1,0.666667,2.84876e-08,1.32706e-07
128,2,0.333333,1.02876e-08,5.58116e-08
129,0,1,3.83946e-08,1.9069e-07
129,1,0.666667,2.8492e-08,1.33961e-07
129,2,0.333333,1.02884e-08,5.63272e-08
130,0,1,3.83991e-08,1.92462e-07
130,1,0.666667,2.84962e-08,1.35216e-07
130,2,0.333333,1.02892e-08,5.68428e-08
131,0,1,3.84034e-08,1.94233e-07
131,1,0.666667,2.85002e-08,1.36471e-07
131,2,0.333333,1.02899e-08,5.73584e-08
132,0,1,3.84076e-08,1.96005e-07
132,1,0.666667,2.85041e-08,1.37727e-07
132,2,0.333333,1.02907e-08,5.78741e-08
133,0,1,3.84115e-08,1.97777e-07
133,1,0.666666,2.85077e-08,1.38982e-07
133,2,0.333333,1.02913e-08,5.83898e-08
134,0,1,3.84152e-08,1.99549e-07
134,1,0.666666,2.85112e-08,1.40238e-07
134,2,0.333333,1.0292e-08,5.89056e-08
135,0,1,3.84188e-08,2.01321e-07
135,1,0.666666,2.85146e-08,1.41494e-07
135,2,0.333333,1.02926e-08,5.94214e-08
136,0,1,3.84223e-08,2.03094e-07
136,1,0.666666,2.85178e-08,1.4275e-07
136,2,0.333333,1.02932e-08,5.99372e-08
137,0,1,3.84255e-08,2.04866e-07
137,1,0.666666,2.85209e-08,1.44006e-07
137,2,0.333333,1.02937e-08,6.04531e-08
138,0,1,3.84287e-08,2.06639e-07
138,1,0.666666,2.85239e-08,1.45263e-07
138,2,0.333333,1.02942e-08,6.09689e-08
139,0,1,3.84316e-08,2.08412e-07
139,1,0.666666,2.85267e-08,1.46519e-07
139,2,0.333333,1.02947e-08,6.14848e-08
140,0,1,3.84345e-08,2.10185e-07
140,1,0.666666,2.85294e-08,1.47776e-07
140,2,0.333333,1.02952e-08,6.20008e-08
141,0,1,3.84372e-08,2.11958e-07
141,1,0.666666,2.8532e-08,1.49033e-07
141,2,0.333333,1.02957e-08,6.25167e-08
142,0,1,3.84398e-08,2.13731e-07
142,1,0.666666,2.85344e-08,1.50289e-07
142,2,0.333333,1.02961e-08,6.30327e-08
143,0,1,3.84423e-08,2.15505e-07
143,1,0.666666,2.85368e-08,1.51546e-07
143,2,0.333333,1.02965e-08,6.35487e-08
144,0,1,3.84447e-08,2.17278e-07
144,1,0.666666,2.85391e-08,1.52803e-07
144,2,0.333333,1.02969e-08,6.40647e-08
145,0,1,3.84469e-08,2.19052e-07
145,1,0.666666,2.85412e-08,1.54061e-07
145,2,0.333333,1.02973e-08,6.45807e-08
146,0,1,3.84491e-08,2.20825e-07
146,1,0.666666,2.85433e-08,1.55318e-07
146,2,0.333333,1.02976e-08,6.50968e-08
147,0,1,3.84511e-08,2.22599e-07
147,1,0.666666,2.85453e-08,1.56575e-07
147,2,0.333333,1.02979e-08,6.56128e-08
148,0,1,3.84531e-08,2.24373e-07
148,1,0.666666,2.85472e-08,1.57833e-07
148,2,0.333333,1.02983e-08,6.61289e-08
149,0,1,3.8455e-08,2.26147e-07
149,1,0.666666,2.8549e-08,1.5909e-07
149,2,0.333333,1.02986e-08,6.6645e-08
150,0,1,3.84568e-08,2.27921e-07
150,1,0.666666,2.85508e-08,1.60348e-07
150,2,0.333333,1.02989e-08,6.71611e-08
151,0,1,3.84585e-08,2.29695e-07
151,1,0.666666,2.85524e-08,1.61605e-07
151,2,0.333333,1.02991e-08,6.76772e-08
152,0,1,3.84601e-08,2.31469e-07
152,1,0.666666,2.8554e-08,1.62863e-07
152,2,0.333333,1.02994e-08,6.81934e-08
153,0,1,3.84617e-08,2.33244e-07
153,1,0.666666,2.85555e-08,1.64121e-07
153,2,0.333333,1.02996e-08,6.87095e-08
154,0,1,3.84632e-08,2.35018e-07
154,1,0.666666,2.8557e-08,1.65379e-07
154,2,0.333333,1.02999e-08,6.92257e-08
155,0,1,3.84646e-08,2.36792e-07
155,1,0.666666,2.85584e-08,1.66637e-07
155,2,0.333333,1.03001e-08,6.97419e-08
156,0,1,3.8466e-08,2.38567e-07
156,1,0.666666,2.85597e-08,1.67895e-07
156,2,0.333333,1.03003e-08,7.02581e-08
157,0,1,3.84673e-08,2.40341e-07
157,1,0.666666,2.8561e-08,1.69153e-07
157,2,0.333333,1.03005e-08,7.07743e-08
158,0,1,3.84685e-08,2.42116e-07
158,1,0.666666,2.85622e-08,1.70411e-07
158,2,0.333333,1.03007e-08,7.12905e-08
159,0,1,3.84697e-08,2.43891e-07
159,1,0.666666,2.85634e-08,1.71669e-07
159,2,0.333333,1.03009e-08,7.18067e-08
160,0,1,3.84708e-08,2.45665e-07
160,1,0.666666,2.85645e-08,1.72927e-07
160,2,0.333333,1.03011e-08,7.23229e-08
161,0,1,3.84719e-08,2.4744e-07
161,1,0.666666,2.85656e-08,1.74185e-07
161,2,0.333333,1.03012e-08,7.28391e-08
162,0,1,3.84729e-08,2.49215e-07
162,1,0.666666,2.85666e-08,1.75444e-07
162,2,0.333333,1.03014e-08,7.33554e-08
163,0,1,3.84739e-08,2.5099e-07
163,1,0.666666,2.85676e-08,1.76702e-07
