time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.995216,3.93318e-05,0.00474327
1,1,0.663438,2.91693e-05,0.00320019
1,2,0.331777,1.06588e-05,0.00154664
2,0,0.990456,3.94671e-05,0.00950287
2,1,0.660224,2.92915e-05,0.00641378
2,2,0.330227,1.06819e-05,0.00309664
3,0,0.985718,3.9281e-05,0.01424
3,1,0.657027,2.9152e-05,0.00961207
3,2,0.328685,1.06325e-05,0.00463947
4,0,0.981007,3.90933e-05,0.0189545
4,1,0.653845,2.90109e-05,0.0127949
4,2,0.32715,1.05829e-05,0.00617509
5,0,0.976315,3.89063e-05,0.0236465
5,1,0.650677,2.88703e-05,0.0159623
5,2,0.325622,1.05335e-05,0.00770355
6,0,0.971645,3.87202e-05,0.028316
6,1,0.647525,2.87304e-05,0.0191143
6,2,0.3241,1.04842e-05,0.00922486
7,0,0.966999,3.85351e-05,0.0329632
7,1,0.644387,2.85912e-05,0.0222511
7,2,0.322585,1.04352e-05,0.0107391
8,0,0.962376,3.83508e-05,0.0375882
8,1,0.641266,2.84528e-05,0.0253726
8,2,0.321078,1.03865e-05,0.0122462
9,0,0.957771,3.81674e-05,0.042191
9,1,0.638161,2.8315e-05,0.0284791
9,2,0.319578,1.03379e-05,0.0137463
10,0,0.95319,3.79848e-05,0.0467718
10,1,0.63507,2.81778e-05,0.0315705
10,2,0.318084,1.02896e-05,0.0152393
11,0,0.948631,3.78031e-05,0.0513307
11,1,0.631993,2.80413e-05,0.034647
11,2,0.316598,1.02415e-05,0.0167254
12,0,0.944096,3.76224e-05,0.0558679
12,1,0.628932,2.79055e-05,0.0377085
12,2,0.315119,1.01937e-05,0.0182046
13,0,0.939579,3.74424e-05,0.0603833
13,1,0.625884,2.77703e-05,0.0407552
13,2,0.313648,1.01461e-05,0.0196768
14,0,0.935085,3.72633e-05,0.0648771
14,1,0.622851,2.76357e-05,0.0437871
14,2,0.312182,1.00987e-05,0.0211422
15,0,0.930614,3.70852e-05,0.0693494
15,1,0.619834,2.75018e-05,0.0468044
15,2,0.310724,1.00515e-05,0.0226007
16,0,0.926163,3.69078e-05,0.0738004
16,1,0.61683,2.73685e-05,0.049807
16,2,0.309272,1.00046e-05,0.0240524
17,0,0.921734,3.67313e-05,0.07823
17,1,0.613843,2.7236e-05,0.0527951
17,2,0.307827,9.95782e-06,0.0254974
18,0,0.917328,3.65557e-05,0.0826385
18,1,0.610869,2.71041e-05,0.0557687
18,2,0.306389,9.9113e-06,0.0269355
19,0,0.912941,3.63809e-05,0.0870259
19,1,0.607909,2.69727e-05,0.0587279
19,2,0.304958,9.86499e-06,0.028367
20,0,0.908577,3.6207e-05,0.0913923
20,1,0.604964,2.6842e-05,0.0616727
20,2,0.303533,9.8189e-06,0.0297918
21,0,0.904232,3.60338e-05,0.0957379
21,1,0.602032,2.6712e-05,0.0646033
21,2,0.302115,9.77303e-06,0.0312099
22,0,0.899908,3.58615e-05,0.100063
22,1,0.599116,2.65826e-05,0.0675197
22,2,0.300703,9.72737e-06,0.0326214
23,0,0.895603,3.569e-05,0.104367
23,1,0.596213,2.64538e-05,0.070422
23,2,0.299299,9.68193e-06,0.0340263
24,0,0.891319,3.55192e-05,0.10865
24,1,0.593325,2.63256e-05,0.0733102
24,2,0.2979,9.63667e-06,0.0354246
25,0,0.887056,3.53494e-05,0.112913
25,1,0.590451,2.61981e-05,0.0761844
25,2,0.296508,9.59166e-06,0.0368164
26,0,0.882813,3.51802e-05,0.117156
26,1,0.587592,2.60713e-05,0.0790447
26,2,0.295123,9.54686e-06,0.0382017
27,0,0.87859,3.5012e-05,0.121378
27,1,0.584746,2.5945e-05,0.0818911
27,2,0.293744,9.50226e-06,0.0395805
28,0,0.874388,3.48445e-05,0.12558
28,1,0.581914,2.58193e-05,0.0847238
28,2,0.292372,9.45786e-06,0.0409529
29,0,0.870205,3.46778e-05,0.129762
29,1,0.579095,2.56942e-05,0.0875427
29,2,0.291006,9.41368e-06,0.0423189
30,0,0.866043,3.4512e-05,0.133924
30,1,0.576289,2.55697e-05,0.090348
30,2,0.289647,9.36972e-06,0.0436785
31,0,0.8619,3.43469e-05,0.138066
31,1,0.573498,2.54459e-05,0.0931397
31,2,0.288294,9.32595e-06,0.0450317
32,0,0.857779,3.41826e-05,0.142189
32,1,0.570719,2.53226e-05,0.0959179
32,2,0.286948,9.28239e-06,0.0463786
33,0,0.853676,3.40191e-05,0.146291
