time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.99995,4.719e-05,2.70489e-12
1,1,0.666638,2.98491e-05,1.85692e-12
1,2,0.333315,1.73243e-05,7.58302e-13
2,0,0.999901,9.43776e-05,8.11455e-12
2,1,0.666609,5.96968e-05,5.57069e-12
2,2,0.333297,3.46477e-05,2.27486e-12
3,0,0.999851,0.000141563,1.62288e-11
3,1,0.666581,8.95433e-05,1.11412e-11
3,2,0.333279,5.19701e-05,4.54965e-12
4,0,0.999802,0.000188746,2.70476e-11
4,1,0.666552,0.000119389,1.85684e-11
4,2,0.333261,6.92916e-05,7.58261e-12
5,0,0.999752,0.000235927,4.05707e-11
5,1,0.666524,0.000149232,2.78523e-11
5,2,0.333243,8.66121e-05,1.13737e-11
6,0,0.999702,0.000283105,5.67981e-11
6,1,0.666495,0.000179075,3.89926e-11
6,2,0.333225,0.000103932,1.59229e-11
7,0,0.999653,0.000330281,7.57295e-11
7,1,0.666466,0.000208917,5.19894e-11
7,2,0.333206,0.00012125,2.12301e-11
8,0,0.999603,0.000377454,9.73649e-11
8,1,0.666438,0.000238757,6.68426e-11
8,2,0.333188,0.000138568,2.72954e-11
9,0,0.999554,0.000424626,1.21704e-10
9,1,0.666409,0.000268595,8.3552e-11
9,2,0.33317,0.000155885,3.41186e-11
10,0,0.999504,0.000471795,1.48747e-10
10,1,0.666381,0.000298433,1.02118e-10
10,2,0.333152,0.000173201,4.16998e-11
11,0,0.999454,0.000518961,1.78493e-10
11,1,0.666352,0.000328269,1.22539e-10
11,2,0.333134,0.000190516,5.00389e-11
12,0,0.999405,0.000566125,2.10943e-10
12,1,0.666323,0.000358104,1.44817e-10
12,2,0.333116,0.00020783,5.91358e-11
13,0,0.999355,0.000613287,2.46097e-10
13,1,0.666295,0.000387938,1.68951e-10
13,2,0.333098,0.000225143,6.89905e-11
14,0,0.999306,0.000660447,2.83953e-10
14,1,0.666266,0.00041777,1.94941e-10
14,2,0.33308,0.000242455,7.96029e-11
15,0,0.999256,0.000707604,3.24512e-10
15,1,0.666238,0.000447601,2.22786e-10
15,2,0.333062,0.000259766,9.09731e-11
16,0,0.999207,0.000754759,3.67774e-10
16,1,0.666209,0.000477431,2.52487e-10
16,2,0.333043,0.000277076,1.03101e-10
17,0,0.999157,0.000801911,4.13739e-10
17,1,0.66618,0.00050726,2.84044e-10
17,2,0.333025,0.000294385,1.15987e-10
18,0,0.999107,0.000849061,4.62407e-10
18,1,0.666152,0.000537087,3.17457e-10
18,2,0.333007,0.000311693,1.2963e-10
19,0,0.999058,0.000896209,5.13777e-10
19,1,0.666123,0.000566913,3.52725e-10
19,2,0.332989,0.000329001,1.4403e-10
20,0,0.999008,0.000943355,5.67849e-10
20,1,0.666094,0.000596738,3.89848e-10
20,2,0.332971,0.000346307,1.59189e-10
21,0,0.998959,0.000990498,6.24624e-10
21,1,0.666066,0.000626561,4.28827e-10
21,2,0.332953,0.000363613,1.75104e-10
22,0,0.998909,0.00103764,6.841e-10
22,1,0.666037,0.000656383,4.69661e-10
22,2,0.332935,0.000380917,1.91777e-10
23,0,0.998859,0.00108478,7.46279e-10
23,1,0.666009,0.000686204,5.1235e-10
23,2,0.332917,0.000398221,2.09208e-10
24,0,0.99881,0.00113191,8.11159e-10
24,1,0.66598,0.000716023,5.56894e-10
24,2,0.332898,0.000415523,2.27396e-10
25,0,0.99876,0.00117905,8.78742e-10
25,1,0.665951,0.000745842,6.03293e-10
25,2,0.33288,0.000432825,2.46341e-10
26,0,0.998711,0.00122618,9.49025e-10
26,1,0.665923,0.000775659,6.51547e-10
26,2,0.332862,0.000450126,2.66043e-10
27,0,0.998661,0.00127331,1.02201e-09
27,1,0.665894,0.000805474,7.01656e-10
27,2,0.332844,0.000467426,2.86503e-10
28,0,0.998611,0.00132043,1.0977e-09
28,1,0.665866,0.000835289,7.5362e-10
28,2,0.332826,0.000484724,3.0772e-10
29,0,0.998562,0.00136756,1.17608e-09
29,1,0.665837,0.000865102,8.07438e-10
29,2,0.332808,0.000502022,3.29694e-10
30,0,0.998512,0.00141468,1.25717e-09
30,1,0.665808,0.000894914,8.63111e-10
30,2,0.33279,0.000519319,3.52425e-10
31,0,0.998463,0.0014618,1.34096e-09
31,1,0.66578,0.000924724,9.20639e-10
31,2,0.332772,0.000536615,3.75913e-10
32,0,0.998413,0.00150892,1.42745e-09
32,1,0.665751,0.000954534,9.80021e-10
