time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.999962,3.75928e-05,1.94065e-08
1,1,0.666642,2.50342e-05,1.16e-08
1,2,0.333321,1.256e-05,8.07507e-09
2,0,0.999925,7.51454e-05,7.75985e-08
2,1,0.666617,5.00443e-05,4.63852e-08
2,2,0.333308,2.51035e-05,3.2286e-08
3,0,0.999887,0.000112658,1.74534e-07
3,1,0.666592,7.50303e-05,1.04333e-07
3,2,0.333296,3.76303e-05,7.26116e-08
4,0,0.99985,0.00015013,3.10173e-07
4,1,0.666566,9.99922e-05,1.85422e-07
4,2,0.333283,5.01406e-05,1.2903e-07
5,0,0.999812,0.000187563,4.84472e-07
5,1,0.666541,0.00012493,2.89628e-07
5,2,0.33327,6.26343e-05,2.01521e-07
6,0,0.999774,0.000224955,6.97392e-07
6,1,0.666516,0.000149844,4.16931e-07
6,2,0.333258,7.51115e-05,2.90063e-07
7,0,0.999737,0.000262307,9.4889e-07
7,1,0.666491,0.000174734,5.67307e-07
7,2,0.333245,8.75722e-05,3.94633e-07
8,0,0.999699,0.000299619,1.23892e-06
8,1,0.666466,0.000199599,7.40734e-07
8,2,0.333233,0.000100016,5.15213e-07
9,0,0.999662,0.000336892,1.56746e-06
9,1,0.666441,0.000224441,9.37191e-07
9,2,0.33322,0.000112444,6.51779e-07
10,0,0.999624,0.000374124,1.93444e-06
10,1,0.666416,0.000249259,1.15665e-06
10,2,0.333208,0.000124855,8.04311e-07
11,0,0.999586,0.000411317,2.33984e-06
11,1,0.666391,0.000274053,1.3991e-06
11,2,0.333195,0.00013725,9.72788e-07
12,0,0.999549,0.00044847,2.78361e-06
12,1,0.666366,0.000298823,1.66451e-06
12,2,0.333183,0.000149629,1.15719e-06
13,0,0.999511,0.000485583,3.26572e-06
13,1,0.666341,0.000323569,1.95286e-06
13,2,0.33317,0.000161991,1.35749e-06
14,0,0.999474,0.000522656,3.78611e-06
14,1,0.666316,0.000348292,2.26413e-06
14,2,0.333157,0.000174337,1.57368e-06
15,0,0.999436,0.00055969,4.34475e-06
15,1,0.666291,0.00037299,2.5983e-06
15,2,0.333145,0.000186666,1.80572e-06
16,0,0.999398,0.000596684,4.94161e-06
16,1,0.666266,0.000397665,2.95534e-06
16,2,0.333132,0.000198979,2.05361e-06
17,0,0.999361,0.000633639,5.57663e-06
17,1,0.666241,0.000422316,3.33523e-06
17,2,0.33312,0.000211276,2.31731e-06
18,0,0.999323,0.000670554,6.24977e-06
18,1,0.666216,0.000446943,3.73796e-06
18,2,0.333107,0.000223557,2.59681e-06
19,0,0.999286,0.000707429,6.96101e-06
19,1,0.666191,0.000471546,4.16349e-06
19,2,0.333095,0.000235821,2.89209e-06
20,0,0.999248,0.000744266,7.71029e-06
20,1,0.666166,0.000496126,4.6118e-06
20,2,0.333082,0.000248069,3.20313e-06
21,0,0.99921,0.000781062,8.49757e-06
21,1,0.666141,0.000520682,5.08288e-06
21,2,0.33307,0.000260301,3.5299e-06
22,0,0.999173,0.000817819,9.32282e-06
22,1,0.666116,0.000545214,5.57671e-06
22,2,0.333057,0.000272517,3.87238e-06
23,0,0.999135,0.000854537,1.0186e-05
23,1,0.666091,0.000569723,6.09325e-06
23,2,0.333044,0.000284716,4.23056e-06
24,0,0.999098,0.000891216,1.1087e-05
24,1,0.666066,0.000594207,6.63249e-06
24,2,0.333032,0.000296899,4.60441e-06
25,0,0.99906,0.000927855,1.20259e-05
25,1,0.666041,0.000618669,7.19441e-06
25,2,0.333019,0.000309067,4.99391e-06
26,0,0.999023,0.000964456,1.30026e-05
26,1,0.666016,0.000643107,7.77898e-06
26,2,0.333007,0.000321218,5.39905e-06
27,0,0.998985,0.00100102,1.40171e-05
27,1,0.665991,0.000667521,8.38619e-06
27,2,0.332994,0.000333353,5.81979e-06
28,0,0.998947,0.00103754,1.50693e-05
28,1,0.665966,0.000691911,9.016e-06
28,2,0.332982,0.000345472,6.25612e-06
29,0,0.99891,0.00107402,1.61591e-05
29,1,0.665941,0.000716278,9.66841e-06
29,2,0.332969,0.000357575,6.70803e-06
30,0,0.998872,0.00111046,1.72866e-05
30,1,0.665916,0.000740622,1.03434e-05
30,2,0.332956,0.000369662,7.17548e-06
31,0,0.998835,0.00114687,1.84517e-05
31,1,0.665891,0.000764942,1.10409e-05
31,2,0.332944,0.000381733,7.65846e-06
32,0,0.998797,0.00118324,1.96544e-05
32,1,0.665866,0.000789239,1.17609e-05
