time,A,B,C
0,1,0,0
1,0.968355,3.10501e-05,0.0316138
20,0.866774,1.84023e-05,0.133207
300,0.679578,7.89951e-06,0.320414
4000,0.425046,2.91283e-06,0.574951
50000,0.183666,8.96999e-07,0.816333
600000,0.0501333,2.10977e-07,0.949866
7e+06,0.00919817,3.71266e-08,0.990802
8e+07,0.00156449,6.26422e-09,0.998436
9e+08,0.000409338,1.63745e-09,0.999591
1e+10,0.000104149,4.16598e-10,0.999896
1.1e+11,2.62191e-05,1.04876e-10,0.999974
1.2e+12,6.57299e-06,2.62919e-11,0.999993
