time,cell,A,B,C
44,0,0.915852,0.0786549,0.00550432
44,1,0.610562,0.0524363,0.00366953
44,2,0.305281,0.0262182,0.00183476
45,0,0.914024,0.0802423,0.00574504
45,1,0.609343,0.0534945,0.00383001
45,2,0.304672,0.0267473,0.00191501
46,0,0.912197,0.0818212,0.00599051
46,1,0.608126,0.0545471,0.00399365
46,2,0.304063,0.0272736,0.00199683
47,0,0.910378,0.0833918,0.00624068
47,1,0.606913,0.0555942,0.00416044
47,2,0.303457,0.0277971,0.00208022
48,0,0.908558,0.084954,0.00649555
48,1,0.605702,0.0566357,0.00433034
48,2,0.302851,0.0283178,0.00216517
49,0,0.906746,0.086508,0.00675507
49,1,0.604493,0.0576716,0.00450336
49,2,0.302246,0.0288358,0.00225168
50,0,0.904938,0.0880537,0.00701923
50,1,0.603285,0.0587021,0.00467946
50,2,0.301643,0.0293511,0.00233973
51,0,0.903131,0.0895912,0.007288
51,1,0.602082,0.0597271,0.00485865
51,2,0.301041,0.0298635,0.00242932
52,0,0.901329,0.0911205,0.00756137
52,1,0.60088,0.0607466,0.00504089
52,2,0.30044,0.0303733,0.00252044
53,0,0.89953,0.0926416,0.00783929
53,1,0.599681,0.0617607,0.00522617
53,2,0.29984,0.0308803,0.00261308
54,0,0.897736,0.0941546,0.00812175
54,1,0.598485,0.0627693,0.00541448
54,2,0.299242,0.0313847,0.00270724
55,0,0.895945,0.0956596,0.00840873
55,1,0.597289,0.0637726,0.00560579
55,2,0.298644,0.0318863,0.0028029
56,0,0.894157,0.0971564,0.0087002
56,1,0.596097,0.0647705,0.0058001
56,2,0.298048,0.0323852,0.00290005
57,0,0.892374,0.0986452,0.00899614
57,1,0.594908,0.065763,0.00599739
57,2,0.297454,0.0328815,0.0029987
58,0,0.890593,0.100126,0.00929652
58,1,0.59372,0.0667502,0.00619764
58,2,0.29686,0.0333751,0.00309882
59,0,0.888815,0.101599,0.00960131
59,1,0.592536,0.0677321,0.00640084
59,2,0.296268,0.033866,0.00320042
60,0,0.887039,0.103064,0.0099105
60,1,0.591353,0.0687087,0.00660697
60,2,0.295677,0.0343543,0.00330348
61,0,0.885267,0.104521,0.0102241
61,1,0.590172,0.06968,0.00681601
61,2,0.295086,0.03484,0.003408
62,0,0.883499,0.10597,0.010542
62,1,0.588994,0.070646,0.00702794
62,2,0.294497,0.035323,0.00351397
63,0,0.881735,0.107411,0.0108642
63,1,0.587819,0.0716068,0.00724276
63,2,0.293909,0.0358034,0.00362138
64,0,0.879974,0.108844,0.0111907
64,1,0.586646,0.0725624,0.00746045
64,2,0.293323,0.0362812,0.00373023
65,0,0.878218,0.11027,0.0115216
65,1,0.585475,0.0735128,0.00768099
65,2,0.292737,0.0367564,0.0038405
66,0,0.876465,0.111688,0.0118566
66,1,0.584307,0.0744581,0.00790437
66,2,0.292154,0.037229,0.00395218
67,0,0.874716,0.113098,0.0121959
67,1,0.58314,0.0753982,0.00813056
67,2,0.29157,0.0376991,0.00406528
68,0,0.872969,0.114501,0.0125394
68,1,0.581977,0.0763331,0.00835956
68,2,0.290988,0.0381666,0.00417978
69,0,0.871225,0.115895,0.0128871
69,1,0.580815,0.077263,0.00859135
69,2,0.290407,0.0386315,0.00429567
70,0,0.869486,0.117282,0.0132389
70,1,0.579655,0.0781877,0.00882591
70,2,0.289828,0.0390939,0.00441296
71,0,0.86775,0.118662,0.0135949
71,1,0.578499,0.0791074,0.00906323
71,2,0.28925,0.0395537,0.00453162
72,0,0.866018,0.120034,0.013955
72,1,0.577344,0.080022,0.0093033
72,2,0.288672,0.040011,0.00465165
73,0,0.86429,0.121398,0.0143192
73,1,0.576192,0.0809316,0.00954609
73,2,0.288096,0.0404658,0.00477305
74,0,0.862566,0.122755,0.0146875
74,1,0.575041,0.0818362,0.0097916
74,2,0.287521,0.0409181,0.0048958
75,0,0.860844,0.124104,0.0150598
75,1,0.573893,0.0827358,0.0100398
75,2,0.286947,0.0413679,0.0050199
76,0,0.859125,0.125446,0.0154361
76,1,0.572749,0.0836304,0.0102907
76,2,0.286374,0.0418152,0.00514535
77,0,0.85741,0.126781,0.0158165
77,1,0.571606,0.08452,0.0105443
77,2,0.285803,0.04226,0.00527213
78,0,0.8557,0.128108,0.0162008
78,1,0.570466,0.0854047,0.0108005
78,2,0.285233,0.0427024,0.00540024
79,0,0.853992,0.129428,0.0165891
79,1,0.569327,0.0862845,0.0110593
79,2,0.284664,0.0431423,0.00552966
80,0,0.852289,0.13074,0.0169813
80,1,0.56819,0.0871594,0.0113208
80,2,0.284095,0.0435797,0.0056604
81,0,0.85059,0.132045,0.0173774
81,1,0.567055,0.0880295,0.0115849
81,2,0.283528,0.0440147,0.00579245
82,0,0.848892,0.133343,0.0177775
82,1,0.565924,0.0888946,0.0118516
82,2,0.282962,0.0444473,0.00592579
83,0,0.847197,0.134633,0.0181814
83,1,0.564793,0.0897549,0.0121208
83,2,0.282397,0.0448775,0.00606042
84,0,0.845505,0.135917,0.0185891
84,1,0.563666,0.0906104,0.0123927
84,2,0.281833,0.0453052,0.00619634
85,0,0.843817,0.137193,0.0190007
85,1,0.562543,0.0914611,0.0126671
85,2,0.281271,0.0457306,0.00633353
86,0,0.842133,0.138461,0.0194161
86,1,0.561419,0.0923071,0.012944
86,2,0.28071,0.0461535,0.00647199
87,0,0.840452,0.139723,0.0198353
87,1,0.5603,0.0931482,0.0132234
87,2,0.28015,0.0465741,0.00661171
88,0,0.838774,0.140978,0.0202582
88,1,0.55918,0.0939846,0.0135054
88,2,0.27959,0.0469923,0.00675269
89,0,0.837099,0.142225,0.0206849
89,1,0.558064,0.0948163,0.0137898
89,2,0.279032,0.0474082,0.00689491
90,0,0.835428,0.143466,0.0211153
90,1,0.55695,0.0956433,0.0140768
90,2,0.278475,0.0478216,0.00703838
91,0,0.833761,0.144699,0.0215494
91,1,0.555838,0.0964656,0.0143662
91,2,0.277919,0.0482328,0.00718308
92,0,0.832098,0.145926,0.0219871
92,1,0.554728,0.0972832,0.014658
92,2,0.277364,0.0486416,0.007329
93,0,0.830439,0.147145,0.0224286
93,1,0.55362,0.0980961,0.0149523
93,2,0.27681,0.0490481,0.00747615
94,0,0.828781,0.148358,0.0228736
94,1,0.552516,0.0989044,0.015249
94,2,0.276258,0.0494522,0.0076245
95,0,0.827127,0.149563,0.0233223
95,1,0.551413,0.0997081,0.0155481
95,2,0.275707,0.0498541,0.00777406
96,0,0.825476,0.150762,0.0237746
96,1,0.550313,0.100507,0.0158497
96,2,0.275156,0.0502536,0.00792483
97,0,0.823828,0.151954,0.0242305
97,1,0.549214,0.101302,0.0161536
97,2,0.274607,0.0506509,0.00807678
98,0,0.822184,0.153139,0.0246899
98,1,0.548119,0.102092,0.0164598
98,2,0.27406,0.0510459,0.00822992
99,0,0.820541,0.154317,0.0251529
99,1,0.547024,0.102877,0.0167685
99,2,0.273512,0.0514386,0.00838423
100,0,0.818903,0.155488,0.0256193
100,1,0.545933,0.103658,0.0170794
100,2,0.272967,0.051829,0.00853972
101,0,0.817268,0.156653,0.0260893
101,1,0.544842,0.104434,0.0173927
101,2,0.272421,0.0522172,0.00869637
102,0,0.815638,0.15781,0.0265627
102,1,0.543755,0.105206,0.0177084
102,2,0.271878,0.0526032,0.00885418
103,0,0.814011,0.158962,0.0270396
103,1,0.54267,0.105974,0.0180263
103,2,0.271335,0.0529869,0.00901314
104,0,0.812386,0.160106,0.0275199
104,1,0.541587,0.106737,0.0183465
104,2,0.270793,0.0533683,0.00917325
105,0,0.810764,0.161244,0.0280036
105,1,0.540507,0.107495,0.018669
105,2,0.270253,0.0537476,0.00933449
106,0,0.809145,0.162375,0.0284908
106,1,0.539427,0.108249,0.0189937
106,2,0.269714,0.0541247,0.00949686
107,0,0.807529,0.1635,0.0289813
107,1,0.538352,0.108999,0.0193207
107,2,0.269176,0.0544995,0.00966036
108,0,0.805918,0.164618,0.0294751
108,1,0.537276,0.109744,0.01965
108,2,0.268638,0.0548722,0.00982498
109,0,0.80431,0.165729,0.0299723
109,1,0.536204,0.110485,0.0199814
109,2,0.268102,0.0552426,0.00999071
110,0,0.802704,0.166834,0.0304728
110,1,0.535134,0.111222,0.0203151
110,2,0.267567,0.055611,0.0101575
111,0,0.801102,0.167932,0.0309766
111,1,0.534066,0.111954,0.0206509
111,2,0.267033,0.0559771,0.0103255
112,0,0.799503,0.169024,0.0314837
112,1,0.533,0.112682,0.020989
112,2,0.2665,0.0563411,0.0104945
113,0,0.797909,0.17011,0.031994
113,1,0.531935,0.113406,0.0213292
113,2,0.265968,0.0567029,0.0106646
114,0,0.796316,0.171189,0.0325076
114,1,0.530873,0.114125,0.0216716
114,2,0.265436,0.0570626,0.0108358
115,0,0.794725,0.172261,0.0330244
115,1,0.529814,0.11484,0.0220161
115,2,0.264907,0.0574201,0.011008
116,0,0.793139,0.173328,0.0335443
116,1,0.528756,0.115551,0.0223628
116,2,0.264378,0.0577756,0.0111814
117,0,0.791555,0.174388,0.0340675
117,1,0.527701,0.116258,0.0227115
117,2,0.263851,0.0581289,0.0113558
118,0,0.789976,0.175441,0.0345938
118,1,0.526646,0.11696,0.0230624
118,2,0.263323,0.0584801,0.0115312
119,0,0.788399,0.176489,0.0351233
119,1,0.525595,0.117658,0.0234154
119,2,0.262798,0.0588292,0.0117077
120,0,0.786825,0.17753,0.0356559
120,1,0.524546,0.118352,0.0237704
120,2,0.262273,0.0591762,0.0118852
121,0,0.785255,0.178565,0.0361916
121,1,0.523499,0.119042,0.0241276
121,2,0.26175,0.0595211,0.0120638
122,0,0.783688,0.179593,0.0367304
122,1,0.522456,0.119728,0.0244867
122,2,0.261228,0.059864,0.0122434
123,0,0.782124,0.180616,0.0372722
123,1,0.521413,0.12041,0.024848
123,2,0.260706,0.0602048,0.012424
124,0,0.780561,0.181632,0.0378171
124,1,0.520373,0.121087,0.0252112
124,2,0.260187,0.0605435,0.0126056
125,0,0.779003,0.182642,0.038365
125,1,0.519334,0.12176,0.0255765
125,2,0.259667,0.0608802,0.0127883
126,0,0.777449,0.183646,0.038916
126,1,0.518298,0.12243,0.0259438
126,2,0.259149,0.0612149,0.0129719
127,0,0.775898,0.184644,0.0394699
127,1,0.517264,0.123095,0.0263131
127,2,0.258632,0.0615475,0.0131565
128,0,0.774349,0.185635,0.0400268
128,1,0.516232,0.123756,0.0266844
128,2,0.258116,0.0618781,0.0133422
129,0,0.772804,0.186621,0.0405867
129,1,0.515202,0.124413,0.0270576
129,2,0.257601,0.0622067,0.0135288
130,0,0.771261,0.187601,0.0411495
130,1,0.514174,0.125067,0.0274328
130,2,0.257087,0.0625333,0.0137164
131,0,0.769722,0.188575,0.0417152
131,1,0.513148,0.125716,0.0278099
131,2,0.256574,0.0628578,0.013905
132,0,0.768185,0.189542,0.0422838
132,1,0.512124,0.126361,0.028189
132,2,0.256062,0.0631804,0.0140945
133,0,0.766651,0.190504,0.0428553
133,1,0.511101,0.127002,0.02857
133,2,0.255551,0.063501,0.014285
134,0,0.765121,0.19146,0.0434297
134,1,0.510081,0.127639,0.028953
134,2,0.25504,0.0638196,0.0144765
135,0,0.763596,0.19241,0.0440069
135,1,0.509062,0.128273,0.0293378
135,2,0.254531,0.0641363,0.0146689
136,0,0.76207,0.193354,0.044587
136,1,0.508048,0.128902,0.0297245
136,2,0.254024,0.064451,0.0148622
137,0,0.760548,0.194292,0.0451699
137,1,0.507033,0.129527,0.0301131
137,2,0.253517,0.0647637,0.0150565
138,0,0.759029,0.195225,0.0457555
138,1,0.506022,0.130149,0.0305035
138,2,0.253011,0.0650745,0.0152518
139,0,0.757515,0.196151,0.046344
139,1,0.505011,0.130767,0.0308958
139,2,0.252506,0.0653834,0.0154479
140,0,0.756002,0.197072,0.0469352
140,1,0.504004,0.131381,0.03129
140,2,0.252002,0.0656903,0.015645
141,0,0.754494,0.197987,0.0475292
141,1,0.502997,0.131991,0.0316859
141,2,0.251499,0.0659953,0.015843
142,0,0.752987,0.198896,0.0481259
142,1,0.501994,0.132597,0.0320837
142,2,0.250997,0.0662984,0.0160419
143,0,0.751484,0.1998,0.0487253
143,1,0.500992,0.133199,0.0324833
143,2,0.250496,0.0665996,0.0162417
144,0,0.749983,0.200698,0.0493274
144,1,0.499993,0.133798,0.0328847
144,2,0.249996,0.0668989,0.0164424
145,0,0.748486,0.20159,0.0499321
145,1,0.498995,0.134393,0.0332879
145,2,0.249498,0.0671963,0.0166439
146,0,0.746992,0.202477,0.0505396
146,1,0.498,0.134984,0.0336928
146,2,0.249,0.0674919,0.0168464
147,0,0.745502,0.203357,0.0511496
147,1,0.497006,0.135571,0.0340995
147,2,0.248503,0.0677855,0.0170498
148,0,0.744013,0.204233,0.0517623
148,1,0.496014,0.136155,0.034508
148,2,0.248007,0.0680773,0.017254
149,0,0.742527,0.205103,0.0523776
149,1,0.495024,0.136734,0.0349182
149,2,0.247512,0.0683672,0.0174591
150,0,0.741045,0.205967,0.0529955
150,1,0.494036,0.137311,0.0353301
150,2,0.247018,0.0686553,0.0176651
151,0,0.739567,0.206825,0.053616
151,1,0.49305,0.137883,0.0357438
151,2,0.246525,0.0689415,0.0178719
152,0,0.738091,0.207679,0.0542391
152,1,0.492066,0.138452,0.0361592
152,2,0.246033,0.0692259,0.0180796
153,0,0.736616,0.208526,0.0548646
153,1,0.491084,0.139017,0.0365762
153,2,0.245542,0.0695085,0.0182881
154,0,0.735146,0.209368,0.0554927
154,1,0.490105,0.139578,0.0369949
154,2,0.245053,0.0697892,0.0184975
155,0,0.733679,0.210205,0.0561234
155,1,0.489127,0.140136,0.0374153
155,2,0.244563,0.0700681,0.0187077
156,0,0.732214,0.211036,0.0567565
156,1,0.488152,0.14069,0.0378374
156,2,0.244076,0.0703452,0.0189187
157,0,0.730753,0.211862,0.057392
157,1,0.487178,0.141241,0.0382611
157,2,0.243589,0.0706205,0.0191306
158,0,0.729296,0.212683,0.0580301
158,1,0.486207,0.141788,0.0386865
158,2,0.243103,0.0708941,0.0193433
159,0,0.727839,0.213498,0.0586706
159,1,0.485236,0.142332,0.0391135
159,2,0.242618,0.0711658,0.0195567
160,0,0.726385,0.214308,0.0593135
160,1,0.484267,0.142872,0.0395421
160,2,0.242133,0.0714358,0.0197711
161,0,0.724936,0.215112,0.0599589
161,1,0.4833,0.143408,0.0399723
161,2,0.24165,0.071704,0.0199862
162,0,0.72349,0.215912,0.0606066
162,1,0.482335,0.143941,0.0404042
162,2,0.241167,0.0719704,0.0202021
163,0,0.722046,0.216706,0.0612567
163,1,0.481372,0.14447,0.0408376
163,2,0.240686,0.072235,0.0204188
164,0,0.720604,0.217494,0.0619092
164,1,0.48041,0.144996,0.0412726
164,2,0.240205,0.072498,0.0206363
165,0,0.719166,0.218278,0.062564
165,1,0.479451,0.145518,0.0417091
165,2,0.239725,0.0727591,0.0208546
166,0,0.717731,0.219056,0.0632212
166,1,0.478493,0.146037,0.0421472
166,2,0.239247,0.0730186,0.0210736
167,0,0.716299,0.219829,0.0638807
167,1,0.477538,0.146553,0.0425869
167,2,0.238769,0.0732763,0.0212934
168,0,0.714869,0.220597,0.0645425
168,1,0.476584,0.147065,0.0430281
168,2,0.238292,0.0735323,0.021514
169,0,0.713442,0.22136,0.0652066
169,1,0.475634,0.147573,0.0434708
169,2,0.237817,0.0737865,0.0217354
170,0,0.712017,0.222118,0.0658729
170,1,0.474684,0.148078,0.043915
170,2,0.237342,0.0740391,0.0219575
171,0,0.710596,0.22287,0.0665415
171,1,0.473738,0.14858,0.0443608
171,2,0.236869,0.07429,0.0221804
172,0,0.709179,0.223618,0.0672124
172,1,0.472792,0.149078,0.044808
172,2,0.236396,0.0745392,0.022404
173,0,0.707762,0.22436,0.0678854
173,1,0.47185,0.149573,0.0452567
173,2,0.235925,0.0747866,0.0226284
174,0,0.706348,0.225098,0.0685607
174,1,0.470908,0.150065,0.0457069
174,2,0.235454,0.0750325,0.0228535
175,0,0.704939,0.22583,0.0692382
175,1,0.469969,0.150553,0.0461586
175,2,0.234985,0.0752766,0.0230793
176,0,0.703533,0.226557,0.0699179
176,1,0.469031,0.151038,0.0466117
176,2,0.234516,0.0755191,0.0233058
177,0,0.702129,0.22728,0.0705997
177,1,0.468096,0.15152,0.0470663
177,2,0.234048,0.0757599,0.0235331
178,0,0.700727,0.227997,0.0712837
178,1,0.467162,0.151998,0.0475222
178,2,0.233581,0.0759991,0.0237611
179,0,0.699329,0.22871,0.0719699
179,1,0.466229,0.152473,0.0479797
179,2,0.233115,0.0762366,0.0239898
180,0,0.697933,0.229417,0.0726581
180,1,0.465298,0.152945,0.0484385
180,2,0.232649,0.0764725,0.0242193
181,0,0.696541,0.23012,0.0733485
181,1,0.464369,0.153413,0.0488987
181,2,0.232185,0.0767067,0.0244494
182,0,0.69515,0.230818,0.0740409
182,1,0.463442,0.153879,0.0493604
182,2,0.231721,0.0769393,0.0246802
183,0,0.693762,0.231511,0.0747355
183,1,0.462517,0.154341,0.0498234
183,2,0.231259,0.0771703,0.0249117
184,0,0.692377,0.232199,0.0754321
184,1,0.461594,0.154799,0.0502878
184,2,0.230797,0.0773997,0.0251439
185,0,0.690996,0.232883,0.0761307
185,1,0.460673,0.155255,0.0507536
185,2,0.230337,0.0776275,0.0253768
