time,cell,A,B,C
40,1,0.665675,0.000982312,1.87759e-05
40,2,0.332837,0.000489344,1.3007e-05
41,0,0.998436,0.00150797,3.29229e-05
41,1,0.66565,0.00100639,1.97084e-05
41,2,0.332825,0.000501248,1.36513e-05
42,0,0.998398,0.00154393,3.45166e-05
42,1,0.665625,0.00103044,2.06632e-05
42,2,0.332813,0.000513137,1.4311e-05
43,0,0.99836,0.00157985,3.61475e-05
43,1,0.6656,0.00105447,2.16403e-05
43,2,0.3328,0.000525011,1.49859e-05
44,0,0.998322,0.00161573,3.78153e-05
44,1,0.665576,0.00107847,2.26396e-05
44,2,0.332788,0.000536868,1.56761e-05
45,0,0.998283,0.00165158,3.95202e-05
45,1,0.665551,0.00110246,2.36611e-05
45,2,0.332775,0.00054871,1.63815e-05
46,0,0.998245,0.00168738,4.12621e-05
46,1,0.665526,0.00112642,2.47048e-05
46,2,0.332763,0.000560536,1.71021e-05
47,0,0.998207,0.00172315,4.30408e-05
47,1,0.665501,0.00115035,2.57707e-05
47,2,0.332751,0.000572347,1.78379e-05
48,0,0.998169,0.00175888,4.48565e-05
48,1,0.665476,0.00117427,2.68588e-05
48,2,0.332738,0.000584142,1.85888e-05
49,0,0.998131,0.00179457,4.6709e-05
49,1,0.665452,0.00119816,2.79689e-05
49,2,0.332726,0.000595921,1.93549e-05
50,0,0.998093,0.00183022,4.85983e-05
50,1,0.665427,0.00122203,2.91013e-05
50,2,0.332713,0.000607685,2.01361e-05
51,0,0.998055,0.00186583,5.05243e-05
51,1,0.665402,0.00124587,3.02557e-05
51,2,0.332701,0.000619433,2.09324e-05
52,0,0.998016,0.00190141,5.24871e-05
52,1,0.665377,0.00126969,3.14321e-05
52,2,0.332689,0.000631166,2.17438e-05
53,0,0.997978,0.00193695,5.44866e-05
53,1,0.665353,0.00129349,3.26307e-05
53,2,0.332676,0.000642883,2.25703e-05
54,0,0.99794,0.00197245,5.65227e-05
54,1,0.665328,0.00131726,3.38512e-05
54,2,0.332664,0.000654585,2.34118e-05
55,0,0.997902,0.00200791,5.85954e-05
55,1,0.665303,0.00134102,3.50938e-05
55,2,0.332651,0.000666271,2.42683e-05
56,0,0.997864,0.00204333,6.07047e-05
56,1,0.665278,0.00136475,3.63583e-05
56,2,0.332639,0.000677941,2.51399e-05
57,0,0.997826,0.00207871,6.28505e-05
57,1,0.665253,0.00138845,3.76449e-05
57,2,0.332627,0.000689597,2.60264e-05
58,0,0.997787,0.00211406,6.50328e-05
58,1,0.665229,0.00141214,3.89533e-05
58,2,0.332614,0.000701236,2.69278e-05
59,0,0.997749,0.00214937,6.72515e-05
59,1,0.665204,0.0014358,4.02837e-05
59,2,0.332602,0.000712861,2.78443e-05
60,0,0.997711,0.00218464,6.95067e-05
60,1,0.665179,0.00145944,4.1636e-05
60,2,0.332589,0.00072447,2.87756e-05
61,0,0.997673,0.00221988,7.17982e-05
61,1,0.665154,0.00148305,4.30102e-05
61,2,0.332577,0.000736063,2.97219e-05
62,0,0.997635,0.00225507,7.41261e-05
62,1,0.665129,0.00150664,4.44062e-05
62,2,0.332565,0.000747641,3.0683e-05
63,0,0.997597,0.00229023,7.64902e-05
63,1,0.665105,0.00153021,4.58241e-05
63,2,0.332552,0.000759204,3.1659e-05
64,0,0.997559,0.00232535,7.88906e-05
64,1,0.66508,0.00155376,4.72638e-05
64,2,0.33254,0.000770752,3.26498e-05
65,0,0.99752,0.00236044,8.13272e-05
65,1,0.665055,0.00157729,4.87253e-05
65,2,0.332527,0.000782284,3.36555e-05
66,0,0.997482,0.00239548,8.38e-05
66,1,0.66503,0.00160079,5.02085e-05
66,2,0.332515,0.000793801,3.4676e-05
67,0,0.997444,0.00243049,8.6309e-05
67,1,0.665005,0.00162427,5.17135e-05
67,2,0.332503,0.000805303,3.57112e-05
68,0,0.997406,0.00246546,8.8854e-05
68,1,0.664981,0.00164772,5.32403e-05
68,2,0.33249,0.00081679,3.67612e-05
69,0,0.997368,0.00250039,9.14351e-05
69,1,0.664956,0.00167116,5.47888e-05
69,2,0.332478,0.000828261,3.7826e-05
70,0,0.99733,0.00253529,9.40522e-05
70,1,0.664931,0.00169457,5.63589e-05
70,2,0.332465,0.000839717,3.89055e-05
71,0,0.997292,0.00257015,9.67053e-05
71,1,0.664906,0.00171795,5.79507e-05
71,2,0.332453,0.000851158,3.99997e-05
72,0,0.997253,0.00260497,9.93944e-05
72,1,0.664881,0.00174132,5.95642e-05
72,2,0.332441,0.000862584,4.11086e-05
73,0,0.997215,0.00263975,0.000102119
73,1,0.664857,0.00176466,6.11993e-05
73,2,0.332428,0.000873994,4.22322e-05
74,0,0.997177,0.0026745,0.00010488
74,1,0.664832,0.00178798,6.28561e-05
74,2,0.332416,0.00088539,4.33704e-05
75,0,0.997139,0.0027092,0.000107677
75,1,0.664807,0.00181128,6.45344e-05
75,2,0.332404,0.00089677,4.45232e-05
76,0,0.997101,0.00274388,0.000110509
76,1,0.664782,0.00183456,6.62342e-05
76,2,0.332391,0.000908136,4.56907e-05
77,0,0.997063,0.00277851,0.000113377
77,1,0.664757,0.00185781,6.79557e-05
77,2,0.332379,0.000919486,4.68728e-05
78,0,0.997025,0.00281311,0.000116281
78,1,0.664733,0.00188104,6.96986e-05
78,2,0.332366,0.000930821,4.80694e-05
79,0,0.996986,0.00284767,0.000119221
79,1,0.664708,0.00190425,7.1463e-05
79,2,0.332354,0.000942141,4.92805e-05
80,0,0.996948,0.00288219,0.000122196
80,1,0.664683,0.00192744,7.3249e-05
80,2,0.332342,0.000953447,5.05062e-05
81,0,0.99691,0.00291668,0.000125207
81,1,0.664658,0.0019506,7.50564e-05
81,2,0.332329,0.000964737,5.17465e-05
82,0,0.996872,0.00295112,0.000128253
82,1,0.664633,0.00197374,7.68852e-05
82,2,0.332317,0.000976012,5.30012e-05
83,0,0.996834,0.00298554,0.000131335
83,1,0.664609,0.00199686,7.87355e-05
83,2,0.332304,0.000987273,5.42704e-05
84,0,0.996796,0.00301991,0.000134453
84,1,0.664584,0.00201996,8.06071e-05
84,2,0.332292,0.000998518,5.5554e-05
85,0,0.996758,0.00305425,0.000137605
85,1,0.664559,0.00204303,8.25002e-05
85,2,0.33228,0.00100975,5.68521e-05
86,0,0.996719,0.00308855,0.000140794
86,1,0.664534,0.00206608,8.44146e-05
86,2,0.332267,0.00102096,5.81646e-05
87,0,0.996681,0.00312282,0.000144017
87,1,0.664509,0.00208911,8.63503e-05
87,2,0.332255,0.00103217,5.94915e-05
88,0,0.996643,0.00315704,0.000147276
88,1,0.664485,0.00211212,8.83074e-05
88,2,0.332242,0.00104335,6.08328e-05
89,0,0.996605,0.00319123,0.00015057
89,1,0.66446,0.0021351,9.02857e-05
89,2,0.33223,0.00105452,6.21884e-05
90,0,0.996567,0.00322539,0.0001539
90,1,0.664435,0.00215807,9.22853e-05
90,2,0.332218,0.00106568,6.35584e-05
91,0,0.996529,0.00325951,0.000157265
91,1,0.66441,0.00218101,9.43062e-05
91,2,0.332205,0.00107682,6.49427e-05
92,0,0.99649,0.00329359,0.000160665
92,1,0.664385,0.00220392,9.63483e-05
92,2,0.332193,0.00108795,6.63413e-05
93,0,0.996452,0.00332763,0.0001641
93,1,0.664361,0.00222682,9.84117e-05
93,2,0.33218,0.00109906,6.77542e-05
94,0,0.996414,0.00336164,0.00016757
94,1,0.664336,0.0022497,0.000100496
94,2,0.332168,0.00111016,6.91814e-05
95,0,0.996376,0.00339561,0.000171075
95,1,0.664311,0.00227255,0.000102602
95,2,0.332156,0.00112124,7.06228e-05
96,0,0.996338,0.00342955,0.000174615
96,1,0.664286,0.00229538,0.000104729
96,2,0.332143,0.00113231,7.20785e-05
97,0,0.9963,0.00346344,0.00017819
97,1,0.664261,0.00231819,0.000106877
97,2,0.332131,0.00114336,7.35483e-05
98,0,0.996262,0.00349731,0.000181801
98,1,0.664237,0.00234097,0.000109046
98,2,0.332118,0.0011544,7.50323e-05
99,0,0.996223,0.00353113,0.000185446
99,1,0.664212,0.00236374,0.000111236
99,2,0.332106,0.00116542,7.65305e-05
100,0,0.996185,0.00356492,0.000189126
100,1,0.664187,0.00238648,0.000113447
100,2,0.332094,0.00117643,7.80429e-05
101,0,0.996147,0.00359868,0.00019284
101,1,0.664162,0.0024092,0.00011568
101,2,0.332081,0.00118743,7.95694e-05
102,0,0.996109,0.00363239,0.00019659
102,1,0.664138,0.00243189,0.000117933
102,2,0.332069,0.00119841,8.111e-05
103,0,0.996071,0.00366607,0.000200375
103,1,0.664113,0.00245457,0.000120207
103,2,0.332056,0.00120937,8.26647e-05
104,0,0.996033,0.00369972,0.000204194
104,1,0.664088,0.00247722,0.000122503
104,2,0.332044,0.00122032,8.42335e-05
105,0,0.995995,0.00373333,0.000208047
105,1,0.664063,0.00249986,0.000124819
105,2,0.332032,0.00123126,8.58164e-05
106,0,0.995956,0.0037669,0.000211936
106,1,0.664038,0.00252247,0.000127156
106,2,0.332019,0.00124218,8.74133e-05
107,0,0.995918,0.00380043,0.000215859
107,1,0.664014,0.00254506,0.000129515
107,2,0.332007,0.00125309,8.90242e-05
108,0,0.99588,0.00383393,0.000219817
108,1,0.663989,0.00256762,0.000131894
108,2,0.331994,0.00126398,9.06491e-05
109,0,0.995842,0.0038674,0.000223809
109,1,0.663964,0.00259017,0.000134294
109,2,0.331982,0.00127486,9.2288e-05
110,0,0.995804,0.00390083,0.000227836
110,1,0.663939,0.00261269,0.000136715
110,2,0.33197,0.00128572,9.39408e-05
111,0,0.995766,0.00393422,0.000231897
111,1,0.663914,0.00263519,0.000139156
111,2,0.331957,0.00129657,9.56076e-05
112,0,0.995728,0.00396758,0.000235993
112,1,0.66389,0.00265767,0.000141619
112,2,0.331945,0.00130741,9.72884e-05
113,0,0.995689,0.0040009,0.000240123
113,1,0.663865,0.00268013,0.000144102
113,2,0.331932,0.00131823,9.8983e-05
114,0,0.995651,0.00403418,0.000244287
114,1,0.66384,0.00270256,0.000146606
114,2,0.33192,0.00132904,0.000100692
115,0,0.995613,0.00406743,0.000248486
115,1,0.663815,0.00272498,0.000149131
115,2,0.331908,0.00133983,0.000102414
116,0,0.995575,0.00410064,0.000252719
116,1,0.66379,0.00274737,0.000151677
116,2,0.331895,0.00135061,0.00010415
117,0,0.995537,0.00413382,0.000256986
117,1,0.663766,0.00276974,0.000154243
117,2,0.331883,0.00136137,0.0001059
118,0,0.995499,0.00416696,0.000261287
118,1,0.663741,0.00279209,0.00015683
118,2,0.33187,0.00137212,0.000107664
119,0,0.995461,0.00420007,0.000265623
119,1,0.663716,0.00281442,0.000159438
119,2,0.331858,0.00138285,0.000109442
120,0,0.995422,0.00423314,0.000269993
120,1,0.663691,0.00283672,0.000162067
120,2,0.331846,0.00139357,0.000111234
121,0,0.995384,0.00426618,0.000274397
121,1,0.663666,0.00285901,0.000164716
121,2,0.331833,0.00140428,0.000113039
122,0,0.995346,0.00429918,0.000278835
122,1,0.663642,0.00288127,0.000167386
122,2,0.331821,0.00141497,0.000114858
123,0,0.995308,0.00433214,0.000283307
123,1,0.663617,0.00290351,0.000170076
123,2,0.331808,0.00142565,0.000116691
124,0,0.99527,0.00436507,0.000287813
124,1,0.663592,0.00292573,0.000172787
124,2,0.331796,0.00143631,0.000118537
125,0,0.995232,0.00439797,0.000292352
125,1,0.663567,0.00294793,0.000175518
125,2,0.331784,0.00144696,0.000120397
126,0,0.995193,0.00443082,0.000296926
126,1,0.663542,0.00297011,0.00017827
126,2,0.331771,0.0014576,0.000122271
127,0,0.995155,0.00446365,0.000301534
127,1,0.663518,0.00299226,0.000181043
127,2,0.331759,0.00146822,0.000124159
128,0,0.995117,0.00449643,0.000306176
128,1,0.663493,0.0030144,0.000183836
128,2,0.331746,0.00147883,0.00012606
129,0,0.995079,0.00452919,0.000310851
129,1,0.663468,0.00303651,0.00018665
129,2,0.331734,0.00148942,0.000127974
130,0,0.995041,0.0045619,0.00031556
130,1,0.663443,0.0030586,0.000189484
130,2,0.331722,0.0015,0.000129903
131,0,0.995003,0.00459459,0.000320303
131,1,0.663418,0.00308067,0.000192338
131,2,0.331709,0.00151057,0.000131845
132,0,0.994965,0.00462723,0.00032508
132,1,0.663394,0.00310272,0.000195213
132,2,0.331697,0.00152112,0.0001338
133,0,0.994926,0.00465984,0.00032989
133,1,0.663369,0.00312475,0.000198109
133,2,0.331684,0.00153166,0.000135769
134,0,0.994888,0.00469242,0.000334734
134,1,0.663344,0.00314675,0.000201024
134,2,0.331672,0.00154218,0.000137752
135,0,0.99485,0.00472496,0.000339611
135,1,0.663319,0.00316874,0.00020396
135,2,0.33166,0.00155269,0.000139748
136,0,0.994812,0.00475747,0.000344522
136,1,0.663294,0.0031907,0.000206917
136,2,0.331647,0.00156318,0.000141757
137,0,0.994774,0.00478994,0.000349467
137,1,0.66327,0.00321264,0.000209894
137,2,0.331635,0.00157366,0.00014378
138,0,0.994736,0.00482238,0.000354445
138,1,0.663245,0.00323456,0.000212891
138,2,0.331622,0.00158413,0.000145817
139,0,0.994698,0.00485478,0.000359456
139,1,0.66322,0.00325646,0.000215908
139,2,0.33161,0.00159458,0.000147867
140,0,0.994659,0.00488715,0.000364501
140,1,0.663195,0.00327834,0.000218946
140,2,0.331598,0.00160502,0.00014993
141,0,0.994621,0.00491948,0.000369579
141,1,0.66317,0.0033002,0.000222004
141,2,0.331585,0.00161545,0.000152007
142,0,0.994583,0.00495178,0.000374691
142,1,0.663146,0.00332203,0.000225082
142,2,0.331573,0.00162586,0.000154097
143,0,0.994545,0.00498404,0.000379836
143,1,0.663121,0.00334385,0.00022818
143,2,0.33156,0.00163626,0.0001562
144,0,0.994507,0.00501627,0.000385014
144,1,0.663096,0.00336564,0.000231299
144,2,0.331548,0.00164664,0.000158317
145,0,0.994469,0.00504846,0.000390225
145,1,0.663071,0.00338741,0.000234437
145,2,0.331536,0.00165701,0.000160447
146,0,0.994431,0.00508062,0.00039547
146,1,0.663047,0.00340917,0.000237596
146,2,0.331523,0.00166737,0.000162591
147,0,0.994392,0.00511275,0.000400748
147,1,0.663022,0.0034309,0.000240775
147,2,0.331511,0.00167771,0.000164748
