time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.995206,3.96591e-05,0.00475441
1,1,0.663429,2.94361e-05,0.00320775
1,2,0.331772,1.07324e-05,0.0015502
2,0,0.990435,3.9469e-05,0.00952568
2,1,0.660208,2.92932e-05,0.00642937
2,2,0.330219,1.06822e-05,0.00310388
3,0,0.985687,3.92798e-05,0.0142741
3,1,0.657002,2.9151e-05,0.00963534
3,2,0.328672,1.06321e-05,0.00465028
4,0,0.980961,3.90915e-05,0.0189997
4,1,0.653812,2.90094e-05,0.0128257
4,2,0.327133,1.05823e-05,0.00618944
5,0,0.976258,3.89041e-05,0.0237027
5,1,0.650637,2.88686e-05,0.0160007
5,2,0.325601,1.05328e-05,0.00772139
6,0,0.971578,3.87176e-05,0.0283831
6,1,0.647478,2.87284e-05,0.0191601
6,2,0.324077,1.04835e-05,0.00924616
7,0,0.96692,3.8532e-05,0.0330411
7,1,0.644334,2.85889e-05,0.0223043
7,2,0.322559,1.04344e-05,0.0107638
8,0,0.962285,3.83472e-05,0.0376768
8,1,0.641205,2.84501e-05,0.0254332
8,2,0.321049,1.03855e-05,0.0122743
9,0,0.957672,3.81634e-05,0.0422902
9,1,0.638091,2.83119e-05,0.0285469
9,2,0.319545,1.03369e-05,0.0137778
10,0,0.95308,3.79804e-05,0.0468815
10,1,0.634993,2.81744e-05,0.0316455
10,2,0.318049,1.02885e-05,0.0152742
11,0,0.948511,3.77984e-05,0.0514509
11,1,0.63191,2.80376e-05,0.034729
11,2,0.316559,1.02403e-05,0.0167636
12,0,0.943964,3.76171e-05,0.0559983
12,1,0.628841,2.79015e-05,0.0377975
12,2,0.315077,1.01923e-05,0.018246
13,0,0.939439,3.74368e-05,0.0605239
13,1,0.625788,2.7766e-05,0.0408512
13,2,0.313602,1.01446e-05,0.0197215
14,0,0.934935,3.72573e-05,0.0650278
14,1,0.622749,2.76312e-05,0.04389
14,2,0.312133,1.00971e-05,0.0211901
15,0,0.930453,3.70787e-05,0.0695101
15,1,0.619725,2.7497e-05,0.0469141
15,2,0.310671,1.00498e-05,0.0226518
16,0,0.925992,3.6901e-05,0.0739709
16,1,0.616716,2.73635e-05,0.0499235
16,2,0.309217,1.00028e-05,0.0241067
17,0,0.921553,3.67241e-05,0.0784104
17,1,0.613721,2.72306e-05,0.0529182
17,2,0.307769,9.95592e-06,0.0255547
18,0,0.917135,3.6548e-05,0.0828285
18,1,0.610741,2.70984e-05,0.0558985
18,2,0.306327,9.9093e-06,0.026996
19,0,0.912738,3.63728e-05,0.0872255
19,1,0.607775,2.69668e-05,0.0588642
19,2,0.304893,9.8629e-06,0.0284305
20,0,0.908362,3.61984e-05,0.0916014
20,1,0.604824,2.68359e-05,0.0618156
20,2,0.303465,9.81671e-06,0.0298583
21,0,0.904008,3.60249e-05,0.0959563
21,1,0.601887,2.67055e-05,0.0647526
21,2,0.302044,9.77074e-06,0.0312794
22,0,0.899674,3.58522e-05,0.10029
22,1,0.598965,2.65759e-05,0.0676754
22,2,0.30063,9.72499e-06,0.0326939
23,0,0.895361,3.56803e-05,0.104604
23,1,0.596056,2.64468e-05,0.070584
23,2,0.299222,9.67945e-06,0.0341017
24,0,0.891068,3.55092e-05,0.108896
24,1,0.593162,2.63184e-05,0.0734784
24,2,0.297821,9.63412e-06,0.035503
25,0,0.886796,3.5339e-05,0.113168
25,1,0.590282,2.61906e-05,0.0763588
25,2,0.296426,9.589e-06,0.0368977
26,0,0.882545,3.51696e-05,0.11742
26,1,0.587415,2.60634e-05,0.0792252
26,2,0.295038,9.5441e-06,0.0382858
27,0,0.878314,3.5001e-05,0.121651
27,1,0.584563,2.59369e-05,0.0820777
27,2,0.293656,9.49941e-06,0.0396675
28,0,0.874103,3.48332e-05,0.125862
28,1,0.581725,2.58109e-05,0.0849163
28,2,0.292281,9.45492e-06,0.0410426
29,0,0.869913,3.46662e-05,0.130052
29,1,0.5789,2.56856e-05,0.0877412
29,2,0.290913,9.41065e-06,0.0424114
30,0,0.865742,3.45e-05,0.134223
30,1,0.576089,2.55609e-05,0.0905523
30,2,0.28955,9.36658e-06,0.0437737
31,0,0.861592,3.43346e-05,0.138374
31,1,0.573291,2.54367e-05,0.0933498
31,2,0.288194,9.32272e-06,0.0451297
32,0,0.857461,3.417e-05,0.142504
32,1,0.570508,2.53132e-05,0.0961337
32,2,0.286845,9.27906e-06,0.0464793
33,0,0.853351,3.40062e-05,0.146615
