time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.996008,0.00397388,1.81314e-05
1,1,0.664005,0.00262639,3.49459e-05
1,2,0.332003,0.00132943,1.23583e-06
2,0,0.992032,0.00789588,7.221e-05
2,1,0.661355,0.00517368,0.000138378
2,2,0.330677,0.00265109,4.9337e-06
3,0,0.988072,0.0117665,0.000161766
3,1,0.658714,0.00764396,0.000308229
3,2,0.329357,0.00396502,1.10792e-05
4,0,0.984127,0.0155863,0.000286333
4,1,0.656085,0.0100393,0.000542489
4,2,0.328042,0.00527124,1.9658e-05
5,0,0.980199,0.0193559,0.000445453
5,1,0.653466,0.0123617,0.000839199
5,2,0.326733,0.00656979,3.06558e-05
6,0,0.976286,0.0230756,0.000638668
6,1,0.650857,0.0146131,0.00119645
6,2,0.325429,0.00786071,4.40583e-05
7,0,0.972388,0.0267461,0.000865528
7,1,0.648259,0.0167954,0.0016124
7,2,0.324129,0.00914403,5.98516e-05
8,0,0.968507,0.0303678,0.00112559
8,1,0.645671,0.0189104,0.00208523
8,2,0.322836,0.0104198,7.80214e-05
9,0,0.96464,0.0339413,0.0014184
9,1,0.643094,0.02096,0.00261319
9,2,0.321547,0.011688,9.85538e-05
10,0,0.960789,0.037467,0.00174354
10,1,0.640526,0.0229458,0.00319456
10,2,0.320263,0.0129488,0.000121435
11,0,0.956954,0.0409455,0.00210056
11,1,0.637969,0.0248697,0.00382769
11,2,0.318985,0.014202,0.000146651
12,0,0.953134,0.0443772,0.00248905
12,1,0.635423,0.0267332,0.00451096
12,2,0.317711,0.0154479,0.000174187
13,0,0.949329,0.0477626,0.00290857
13,1,0.632886,0.028538,0.00524278
13,2,0.316443,0.0166863,0.000204031
14,0,0.945539,0.0511022,0.0033587
14,1,0.630359,0.0302856,0.00602163
14,2,0.31518,0.0179175,0.000236168
15,0,0.941765,0.0543964,0.00383904
15,1,0.627843,0.0319776,0.00684601
15,2,0.313922,0.0191412,0.000270585
16,0,0.938005,0.0576458,0.00434917
16,1,0.625337,0.0336155,0.00771447
16,2,0.312668,0.0203577,0.000307269
17,0,0.93426,0.0608508,0.00488868
17,1,0.62284,0.0352008,0.0086256
17,2,0.31142,0.021567,0.000346205
18,0,0.930531,0.0640119,0.00545718
18,1,0.620354,0.0367347,0.00957801
18,2,0.310177,0.022769,0.00038738
19,0,0.926816,0.0671295,0.00605426
19,1,0.617877,0.0382188,0.0105704
19,2,0.308939,0.0239638,0.000430781
20,0,0.923116,0.0702041,0.00667953
20,1,0.615411,0.0396544,0.0116014
20,2,0.307705,0.0251515,0.000476395
21,0,0.919431,0.0732361,0.0073326
21,1,0.612954,0.0410427,0.0126698
21,2,0.306477,0.026332,0.000524208
22,0,0.915761,0.076226,0.00801309
22,1,0.610507,0.0423851,0.0137743
22,2,0.305254,0.0275055,0.000574208
23,0,0.912105,0.0791742,0.00872061
23,1,0.60807,0.0436827,0.0149138
23,2,0.304035,0.0286719,0.00062638
24,0,0.908464,0.0820812,0.00945479
24,1,0.605643,0.0449369,0.0160871
24,2,0.302821,0.0298313,0.000680712
25,0,0.904837,0.0849473,0.0102152
25,1,0.603225,0.0461487,0.017293
25,2,0.301612,0.0309837,0.000737191
26,0,0.901225,0.0877731,0.0110016
26,1,0.600817,0.0473194,0.0185304
26,2,0.300408,0.0321291,0.000795804
27,0,0.897628,0.0905589,0.0118135
27,1,0.598418,0.0484499,0.0197984
27,2,0.299209,0.0332676,0.000856538
28,0,0.894044,0.0933051,0.0126506
28,1,0.59603,0.0495415,0.0210957
28,2,0.298015,0.0343992,0.000919381
29,0,0.890475,0.0960122,0.0135126
29,1,0.59365,0.0505951,0.0224214
29,2,0.296825,0.0355239,0.000984319
30,0,0.88692,0.0986806,0.014399
30,1,0.59128,0.0516118,0.0237745
30,2,0.29564,0.0366418,0.00105134
31,0,0.88338,0.101311,0.0153095
31,1,0.58892,0.0525927,0.0251541
31,2,0.29446,0.037753,0.00112043
32,0,0.879853,0.103903,0.0162438
32,1,0.586569,0.0535386,0.0265592
32,2,0.293284,0.0388573,0.00119158
33,0,0.876341,0.106457,0.0172016
33,1,0.584227,0.0544505,0.0279888
33,2,0.292114,0.0399549,0.00126477
34,0,0.872843,0.108975,0.0181824
34,1,0.581895,0.0553294,0.0294422
34,2,0.290948,0.0410458,0.00134
35,0,0.869358,0.111456,0.019186
35,1,0.579572,0.0561761,0.0309184
35,2,0.289786,0.04213,0.00141724
