time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.999953,4.71912e-05,1.35247e-12
1,1,0.666637,2.98497e-05,9.28517e-13
1,2,0.333316,1.73248e-05,3.79178e-13
2,0,0.999906,9.43802e-05,5.40989e-12
2,1,0.666607,5.9698e-05,3.71384e-12
2,2,0.333299,3.46487e-05,1.51664e-12
3,0,0.999858,0.000141567,1.21722e-11
3,1,0.666577,8.9545e-05,8.35613e-12
3,2,0.333281,5.19717e-05,3.41242e-12
4,0,0.999811,0.000188752,2.16389e-11
4,1,0.666547,0.000119391,1.48552e-11
4,2,0.333264,6.92938e-05,6.06633e-12
5,0,0.999764,0.000235934,3.38103e-11
5,1,0.666517,0.000149235,2.32108e-11
5,2,0.333247,8.6615e-05,9.47849e-12
6,0,0.999717,0.000283114,4.86859e-11
6,1,0.666488,0.000179078,3.3423e-11
6,2,0.333229,0.000103935,1.36488e-11
7,0,0.99967,0.000330292,6.62659e-11
7,1,0.666458,0.00020892,4.54918e-11
7,2,0.333212,0.000121255,1.85772e-11
8,0,0.999623,0.000377467,8.65501e-11
8,1,0.666428,0.00023876,5.94171e-11
8,2,0.333195,0.000138573,2.42637e-11
9,0,0.999575,0.000424641,1.09538e-10
9,1,0.666398,0.000268599,7.51986e-11
9,2,0.333177,0.000155891,3.07081e-11
10,0,0.999528,0.000471812,1.3523e-10
10,1,0.666368,0.000298437,9.28364e-11
10,2,0.33316,0.000173207,3.79106e-11
11,0,0.999481,0.000518981,1.63626e-10
11,1,0.666338,0.000328273,1.1233e-10
11,2,0.333143,0.000190523,4.5871e-11
12,0,0.999434,0.000566148,1.94725e-10
12,1,0.666309,0.000358108,1.3368e-10
12,2,0.333125,0.000207838,5.45893e-11
13,0,0.999387,0.000613312,2.28528e-10
13,1,0.666279,0.000387941,1.56886e-10
13,2,0.333108,0.000225152,6.40656e-11
14,0,0.99934,0.000660474,2.65034e-10
14,1,0.666249,0.000417774,1.81948e-10
14,2,0.333091,0.000242465,7.42996e-11
15,0,0.999292,0.000707634,3.04244e-10
15,1,0.666219,0.000447605,2.08866e-10
15,2,0.333074,0.000259777,8.52914e-11
16,0,0.999245,0.000754792,3.46156e-10
16,1,0.666189,0.000477434,2.3764e-10
16,2,0.333056,0.000277089,9.7041e-11
17,0,0.999198,0.000801948,3.90772e-10
17,1,0.666159,0.000507263,2.68269e-10
17,2,0.333039,0.000294399,1.09548e-10
18,0,0.999151,0.000849101,4.3809e-10
18,1,0.66613,0.00053709,3.00754e-10
18,2,0.333022,0.000311709,1.22813e-10
19,0,0.999104,0.000896252,4.88112e-10
19,1,0.6661,0.000566915,3.35094e-10
19,2,0.333004,0.000329017,1.36836e-10
20,0,0.999057,0.000943401,5.40835e-10
20,1,0.66607,0.000596739,3.7129e-10
20,2,0.332987,0.000346325,1.51616e-10
21,0,0.999009,0.000990548,5.96262e-10
21,1,0.66604,0.000626562,4.09341e-10
21,2,0.33297,0.000363632,1.67154e-10
22,0,0.998962,0.00103769,6.5439e-10
22,1,0.66601,0.000656384,4.49247e-10
22,2,0.332952,0.000380938,1.83449e-10
23,0,0.998915,0.00108483,7.15221e-10
23,1,0.66598,0.000686204,4.91009e-10
23,2,0.332935,0.000398243,2.00502e-10
24,0,0.998868,0.00113197,7.78754e-10
24,1,0.665951,0.000716023,5.34625e-10
24,2,0.332918,0.000415547,2.18312e-10
25,0,0.998821,0.00117911,8.44989e-10
25,1,0.665921,0.000745841,5.80097e-10
25,2,0.3329,0.00043285,2.3688e-10
26,0,0.998774,0.00122625,9.13925e-10
26,1,0.665891,0.000775657,6.27424e-10
26,2,0.332883,0.000450152,2.56205e-10
27,0,0.998727,0.00127338,9.85564e-10
27,1,0.665861,0.000805472,6.76605e-10
27,2,0.332866,0.000467454,2.76287e-10
28,0,0.998679,0.00132051,1.0599e-09
28,1,0.665831,0.000835285,7.27641e-10
28,2,0.332849,0.000484754,2.97126e-10
29,0,0.998632,0.00136764,1.13695e-09
29,1,0.665802,0.000865098,7.80532e-10
29,2,0.332831,0.000502054,3.18723e-10
30,0,0.998585,0.00141477,1.21669e-09
30,1,0.665772,0.000894908,8.35277e-10
30,2,0.332814,0.000519352,3.41077e-10
31,0,0.998538,0.00146189,1.29913e-09
31,1,0.665742,0.000924718,8.91877e-10
31,2,0.332797,0.00053665,3.64188e-10
32,0,0.998491,0.00150901,1.38428e-09
32,1,0.665712,0.000954526,9.50332e-10
