time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.995217,4.18591e-09,0.00478261
1,1,0.663437,4.47454e-09,0.00322935
1,2,0.331776,5.39741e-10,0.00155729
2,0,0.990458,4.16589e-09,0.00954234
2,1,0.660224,4.45287e-09,0.00644307
2,2,0.330226,5.3722e-10,0.00310731
3,0,0.985721,4.14597e-09,0.0142793
3,1,0.657025,4.4313e-09,0.00964121
3,2,0.328683,5.3471e-10,0.00465008
4,0,0.981006,4.12614e-09,0.0189936
4,1,0.653843,4.40983e-09,0.0128239
4,2,0.327148,5.32212e-10,0.00618565
5,0,0.976315,4.1064e-09,0.0236854
5,1,0.650676,4.38847e-09,0.0159911
5,2,0.325619,5.29725e-10,0.00771404
6,0,0.971645,4.08677e-09,0.0283547
6,1,0.647524,4.36721e-09,0.019143
6,2,0.324098,5.27251e-10,0.00923529
7,0,0.966998,4.06722e-09,0.0330017
7,1,0.644387,4.34606e-09,0.0222796
7,2,0.322584,5.24787e-10,0.0107494
8,0,0.962373,4.04777e-09,0.0376265
8,1,0.641266,4.325e-09,0.0254011
8,2,0.321077,5.22336e-10,0.0122565
9,0,0.957771,4.02841e-09,0.0422292
9,1,0.638159,4.30405e-09,0.0285074
9,2,0.319577,5.19895e-10,0.0137565
10,0,0.95319,4.00914e-09,0.0468098
10,1,0.635068,4.28321e-09,0.0315986
10,2,0.318084,5.17466e-10,0.0152496
11,0,0.948631,3.98997e-09,0.0513686
11,1,0.631992,4.26246e-09,0.0346749
11,2,0.316598,5.15049e-10,0.0167356
12,0,0.944095,3.97089e-09,0.0559055
12,1,0.62893,4.24181e-09,0.0377363
12,2,0.315119,5.12643e-10,0.0182147
13,0,0.939579,3.95189e-09,0.0604207
13,1,0.625884,4.22126e-09,0.0407829
13,2,0.313646,5.10248e-10,0.0196869
14,0,0.935086,3.93299e-09,0.0649144
14,1,0.622852,4.20081e-09,0.0438147
14,2,0.312181,5.07864e-10,0.0211522
15,0,0.930613,3.91418e-09,0.0693865
15,1,0.619835,4.18047e-09,0.0468318
15,2,0.310723,5.05491e-10,0.0226107
16,0,0.926163,3.89546e-09,0.0738373
16,1,0.616832,4.16022e-09,0.0498343
16,2,0.309271,5.0313e-10,0.0240624
17,0,0.921733,3.87683e-09,0.0782668
17,1,0.613844,4.14006e-09,0.0528223
17,2,0.307826,5.00779e-10,0.0255072
18,0,0.917325,3.85829e-09,0.082675
18,1,0.610871,4.12001e-09,0.0557957
18,2,0.306388,4.98439e-10,0.0269454
19,0,0.912938,3.83984e-09,0.0870623
19,1,0.607912,4.10005e-09,0.0587548
19,2,0.304957,4.96111e-10,0.0283768
20,0,0.908572,3.82148e-09,0.0914285
20,1,0.604967,4.08019e-09,0.0616996
20,2,0.303532,4.93793e-10,0.0298015
21,0,0.904226,3.8032e-09,0.0957738
21,1,0.602037,4.06043e-09,0.06463
21,2,0.302114,4.91486e-10,0.0312195
22,0,0.899902,3.78501e-09,0.100098
22,1,0.59912,4.04076e-09,0.0675463
22,2,0.300702,4.8919e-10,0.032631
23,0,0.895598,3.76691e-09,0.104402
23,1,0.596218,4.02118e-09,0.0704485
23,2,0.299298,4.86904e-10,0.0340358
24,0,0.891314,3.74889e-09,0.108686
24,1,0.59333,4.0017e-09,0.0733366
24,2,0.297899,4.8463e-10,0.0354341
25,0,0.887052,3.73096e-09,0.112948
25,1,0.590456,3.98232e-09,0.0762107
25,2,0.296507,4.82366e-10,0.0368259
26,0,0.882809,3.71312e-09,0.117191
26,1,0.587596,3.96303e-09,0.0790709
26,2,0.295122,4.80112e-10,0.0382111
27,0,0.878587,3.69536e-09,0.121413
27,1,0.584749,3.94383e-09,0.0819172
27,2,0.293743,4.77869e-10,0.0395899
28,0,0.874385,3.67769e-09,0.125615
28,1,0.581917,3.92473e-09,0.0847498
28,2,0.292371,4.75636e-10,0.0409622
29,0,0.870203,3.6601e-09,0.129797
29,1,0.579098,3.90572e-09,0.0875686
29,2,0.291005,4.73414e-10,0.0423281
30,0,0.866041,3.64259e-09,0.133959
30,1,0.576293,3.8868e-09,0.0903738
30,2,0.289646,4.71203e-10,0.0436877
31,0,0.8619,3.62517e-09,0.1381
31,1,0.573501,3.86797e-09,0.0931654
31,2,0.288292,4.69001e-10,0.0450409
32,0,0.857777,3.60783e-09,0.142223
32,1,0.570723,3.84923e-09,0.0959434
32,2,0.286946,4.6681e-10,0.0463877
