time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.998002,0.00199501,2.995e-06
1,1,0.665335,0.00133,1.99667e-06
1,2,0.332667,0.000665002,9.98335e-07
2,0,0.996008,0.00398005,1.19601e-05
2,1,0.664005,0.00265337,7.97338e-06
2,2,0.332003,0.00132668,3.98669e-06
3,0,0.994018,0.00595517,2.68654e-05
3,1,0.662679,0.00397011,1.79103e-05
3,2,0.331339,0.00198506,8.95513e-06
4,0,0.992032,0.0079204,4.76812e-05
4,1,0.661355,0.00528027,3.17875e-05
4,2,0.330677,0.00264013,1.58937e-05
5,0,0.99005,0.00987579,7.4378e-05
5,1,0.660033,0.00658386,4.95853e-05
5,2,0.330017,0.00329193,2.47927e-05
6,0,0.988072,0.0118214,0.000106926
6,1,0.658714,0.00788091,7.12841e-05
6,2,0.329357,0.00394045,3.5642e-05
7,0,0.986098,0.0137572,0.000145296
7,1,0.657398,0.00917144,9.68642e-05
7,2,0.328699,0.00458572,4.84321e-05
8,0,0.984127,0.0156832,0.000189459
8,1,0.656085,0.0104555,0.000126306
8,2,0.328042,0.00522774,6.31531e-05
9,0,0.982161,0.0175996,0.000239386
9,1,0.654774,0.0117331,0.000159591
9,2,0.327387,0.00586653,7.97953e-05
10,0,0.980199,0.0195063,0.000295047
10,1,0.653466,0.0130042,0.000196698
10,2,0.326733,0.00650209,9.83491e-05
11,0,0.97824,0.0214034,0.000356414
11,1,0.65216,0.0142689,0.000237609
11,2,0.32608,0.00713445,0.000118805
12,0,0.976286,0.0232908,0.000423458
12,1,0.650857,0.0155272,0.000282305
12,2,0.325429,0.00776361,0.000141153
13,0,0.974335,0.0251688,0.000496149
13,1,0.649557,0.0167792,0.000330766
13,2,0.324778,0.00838959,0.000165383
14,0,0.972388,0.0270372,0.000574461
14,1,0.648259,0.0180248,0.000382974
14,2,0.324129,0.00901239,0.000191487
15,0,0.970446,0.0288961,0.000658363
15,1,0.646964,0.0192641,0.000438909
15,2,0.323482,0.00963203,0.000219454
16,0,0.968507,0.0307456,0.000747828
16,1,0.645671,0.0204971,0.000498552
16,2,0.322836,0.0102485,0.000249276
17,0,0.966572,0.0325857,0.000842827
17,1,0.644381,0.0217238,0.000561885
17,2,0.322191,0.0108619,0.000280942
18,0,0.96464,0.0344164,0.000943333
18,1,0.643094,0.0229442,0.000628888
18,2,0.321547,0.0114721,0.000314444
19,0,0.962713,0.0362377,0.00104932
19,1,0.641809,0.0241585,0.000699544
19,2,0.320904,0.0120792,0.000349772
20,0,0.960789,0.0380498,0.00116075
20,1,0.640526,0.0253665,0.000773833
20,2,0.320263,0.0126833,0.000386917
21,0,0.95887,0.0398526,0.00127761
21,1,0.639247,0.0265684,0.000851737
21,2,0.319623,0.0132842,0.000425869
22,0,0.956954,0.0416462,0.00139986
22,1,0.637969,0.0277641,0.000933237
22,2,0.318985,0.0138821,0.000466619
23,0,0.955042,0.0434306,0.00152747
23,1,0.636695,0.0289537,0.00101832
23,2,0.318347,0.0144769,0.000509158
24,0,0.953134,0.0452058,0.00166043
24,1,0.635423,0.0301372,0.00110695
24,2,0.317711,0.0150686,0.000553477
25,0,0.951229,0.0469719,0.0017987
25,1,0.634153,0.0313146,0.00119913
25,2,0.317076,0.0156573,0.000599566
26,0,0.949329,0.0487289,0.00194225
26,1,0.632886,0.0324859,0.00129484
26,2,0.316443,0.016243,0.000647418
27,0,0.947432,0.0504768,0.00209106
27,1,0.631621,0.0336512,0.00139404
27,2,0.315811,0.0168256,0.000697021
28,0,0.945539,0.0522158,0.0022451
28,1,0.630359,0.0348105,0.00149674
28,2,0.31518,0.0174053,0.000748368
29,0,0.94365,0.0539457,0.00240435
29,1,0.6291,0.0359638,0.0016029
29,2,0.31455,0.0179819,0.00080145
30,0,0.941765,0.0556667,0.00256877
30,1,0.627843,0.0371111,0.00171251
30,2,0.313922,0.0185556,0.000856257
31,0,0.939883,0.0573788,0.00273834
31,1,0.626589,0.0382525,0.00182556
31,2,0.313294,0.0191263,0.00091278
32,0,0.938005,0.059082,0.00291303
32,1,0.625337,0.039388,0.00194202
32,2,0.312668,0.019694,0.000971011
33,0,0.936131,0.0607763,0.00309282
33,1,0.624087,0.0405175,0.00206188
33,2,0.312044,0.0202588,0.00103094
34,0,0.93426,0.0624618,0.00327768
34,1,0.62284,0.0416412,0.00218512
34,2,0.31142,0.0208206,0.00109256
35,0,0.932394,0.0641386,0.00346759
