time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.995206,4.18586e-09,0.00479406
1,1,0.663429,4.47449e-09,0.00323719
1,2,0.331772,5.39735e-10,0.00156093
2,0,0.990435,4.16579e-09,0.00956514
2,1,0.660208,4.45276e-09,0.00645866
2,2,0.330219,5.37208e-10,0.00311456
3,0,0.985687,4.14582e-09,0.0143134
3,1,0.657002,4.43114e-09,0.00966449
3,2,0.328672,5.34692e-10,0.00466091
4,0,0.980961,4.12595e-09,0.0190388
4,1,0.653812,4.40962e-09,0.0128547
4,2,0.327133,5.32188e-10,0.00620002
5,0,0.976258,4.10617e-09,0.0237416
5,1,0.650637,4.38821e-09,0.0160295
5,2,0.325601,5.29696e-10,0.00773192
6,0,0.971578,4.08648e-09,0.0284218
6,1,0.647478,4.3669e-09,0.0191889
6,2,0.324077,5.27216e-10,0.00925665
7,0,0.96692,4.06689e-09,0.0330796
7,1,0.644334,4.3457e-09,0.0223329
7,2,0.322559,5.24747e-10,0.0107742
8,0,0.962285,4.04739e-09,0.0377151
8,1,0.641205,4.3246e-09,0.0254616
8,2,0.321049,5.2229e-10,0.0122847
9,0,0.957672,4.02799e-09,0.0423284
9,1,0.638091,4.3036e-09,0.0285752
9,2,0.319545,5.19844e-10,0.0137881
10,0,0.95308,4.00868e-09,0.0469195
10,1,0.634993,4.2827e-09,0.0316736
10,2,0.318049,5.1741e-10,0.0152845
11,0,0.948511,3.98946e-09,0.0514887
11,1,0.63191,4.2619e-09,0.034757
11,2,0.316559,5.14987e-10,0.0167739
12,0,0.943964,3.97034e-09,0.0560359
12,1,0.628841,4.24121e-09,0.0378254
12,2,0.315077,5.12575e-10,0.0182562
13,0,0.939439,3.9513e-09,0.0605613
13,1,0.625788,4.22061e-09,0.0408789
13,2,0.313602,5.10175e-10,0.0197317
14,0,0.934935,3.93236e-09,0.065065
14,1,0.622749,4.20012e-09,0.0439176
14,2,0.312133,5.07786e-10,0.0212002
15,0,0.930453,3.91351e-09,0.0695472
15,1,0.619725,4.17973e-09,0.0469416
15,2,0.310671,5.05408e-10,0.0226619
16,0,0.925992,3.89475e-09,0.0740078
16,1,0.616716,4.15943e-09,0.0499508
16,2,0.309217,5.03041e-10,0.0241167
17,0,0.921553,3.87608e-09,0.0784471
17,1,0.613721,4.13923e-09,0.0529455
17,2,0.307769,5.00685e-10,0.0255647
18,0,0.917135,3.85749e-09,0.0828651
18,1,0.610741,4.11913e-09,0.0559256
18,2,0.306327,4.98341e-10,0.0270059
19,0,0.912738,3.839e-09,0.0872619
19,1,0.607775,4.09913e-09,0.0588912
19,2,0.304893,4.96007e-10,0.0284404
20,0,0.908362,3.8206e-09,0.0916376
20,1,0.604824,4.07923e-09,0.0618424
20,2,0.303465,4.93685e-10,0.0298681
21,0,0.904008,3.80228e-09,0.0959924
21,1,0.601887,4.05942e-09,0.0647793
21,2,0.302044,4.91373e-10,0.0312892
22,0,0.899674,3.78405e-09,0.100326
22,1,0.598965,4.03971e-09,0.067702
22,2,0.30063,4.89072e-10,0.0327036
23,0,0.895361,3.76591e-09,0.104639
23,1,0.596056,4.02009e-09,0.0706104
23,2,0.299222,4.86781e-10,0.0341114
24,0,0.891068,3.74786e-09,0.108932
24,1,0.593162,4.00057e-09,0.0735047
24,2,0.297821,4.84502e-10,0.0355126
25,0,0.886796,3.72989e-09,0.113204
25,1,0.590282,3.98114e-09,0.076385
25,2,0.296426,4.82233e-10,0.0369072
26,0,0.882545,3.71201e-09,0.117455
26,1,0.587415,3.96181e-09,0.0792513
26,2,0.295038,4.79975e-10,0.0382953
27,0,0.878314,3.69421e-09,0.121686
27,1,0.584563,3.94258e-09,0.0821036
27,2,0.293656,4.77727e-10,0.039677
28,0,0.874103,3.6765e-09,0.125897
28,1,0.581725,3.92343e-09,0.0849421
28,2,0.292281,4.7549e-10,0.0410521
29,0,0.869913,3.65888e-09,0.130087
29,1,0.5789,3.90438e-09,0.0877669
29,2,0.290913,4.73264e-10,0.0424208
30,0,0.865742,3.64134e-09,0.134258
30,1,0.576089,3.88542e-09,0.0905779
30,2,0.28955,4.71047e-10,0.0437831
31,0,0.861592,3.62388e-09,0.138408
31,1,0.573291,3.86655e-09,0.0933753
31,2,0.288194,4.68842e-10,0.045139
32,0,0.857461,3.60651e-09,0.142538
32,1,0.570508,3.84778e-09,0.096159
32,2,0.286845,4.66646e-10,0.0464885
